交易序号,策略类型,方向,入场时间,入场价格,出场时间,出场价格,持仓K线数,持仓分钟,价格变动%,合约收益%,本次盈亏USDT,累计盈亏USDT,出场原因,跟踪止损,弱势收紧,仓位大小,K1开,K1高,K1低,K1收,K2开,K2高,K2低,K2收
1,rule1,做多,2024-12-29 20:30,3349.71,2024-12-30 01:15,3428.67,20,300,2.357,330.00,5.2800,5.2800,止盈,否,否,1.6,3354.28,3354.28,3335.75,3342.45,3342.44,3351.52,3335.00,3349.71
2,rule1,做空,2024-12-30 05:15,3392.90,2024-12-30 14:30,3312.92,38,570,2.357,330.00,3.3000,8.5800,止盈,是,是,1.0,3391.60,3402.00,3388.60,3399.19,3399.19,3403.62,3391.03,3392.90
3,rule1,做多,2024-12-30 16:00,3329.82,2024-12-30 17:45,3408.31,8,120,2.357,330.00,3.3000,11.8800,止盈,否,否,1.0,3331.80,3343.98,3321.72,3324.16,3324.16,3334.00,3317.50,3329.82
4,rule1,做多,2024-12-30 05:00,3399.19,2025-01-02 10:00,3471.30,309,4635,2.121,297.00,4.7520,16.6320,止盈,是,是,1.6,3404.29,3406.64,3391.20,3391.60,3391.60,3402.00,3388.60,3399.19
5,rule1,做多,2024-12-29 12:00,3402.50,2025-01-02 10:15,3474.68,378,5670,2.121,297.00,2.9700,19.6020,止盈,是,是,1.0,3406.41,3407.92,3397.84,3398.36,3398.37,3403.38,3395.00,3402.50
6,rule1,做多,2024-12-30 07:30,3422.57,2025-01-02 14:30,3495.18,317,4755,2.121,297.00,2.9700,22.5720,止盈,是,是,1.0,3424.23,3427.08,3412.81,3414.68,3414.69,3424.63,3409.44,3422.57
7,rule1,做空,2024-12-31 06:15,3356.82,2025-01-03 14:15,3512.71,321,4815,4.644,-650.17,-6.5017,16.0703,跟踪止损,是,是,1.0,3344.33,3359.23,3339.85,3351.70,3351.70,3363.42,3349.61,3356.82
8,rule1,做多,2025-01-02 17:00,3477.66,2025-01-03 15:30,3551.44,91,1365,2.121,297.00,4.7520,20.8223,止盈,是,是,1.6,3483.49,3483.62,3468.18,3469.54,3469.54,3478.80,3466.50,3477.66
9,rule1,做多,2025-01-02 15:00,3485.62,2025-01-03 15:45,3559.56,100,1500,2.121,297.00,4.7520,25.5743,止盈,是,是,1.6,3479.76,3498.00,3478.50,3495.19,3495.15,3496.26,3478.36,3485.62
10,rule1,做空,2025-01-02 10:15,3471.17,2025-01-03 19:30,3627.10,134,2010,4.492,-628.89,-6.2889,19.2854,跟踪止损,是,是,1.0,3467.94,3472.97,3457.99,3458.99,3459.00,3476.00,3458.99,3471.17
11,rule1,做多,2025-01-04 08:15,3595.69,2025-01-05 00:15,3671.97,65,975,2.121,297.00,2.9700,22.2554,止盈,是,是,1.0,3594.05,3603.62,3592.21,3603.61,3603.61,3603.62,3590.01,3595.69
12,rule1,做多,2025-01-04 08:00,3603.61,2025-01-06 02:00,3680.06,169,2535,2.121,297.00,2.9700,25.2254,止盈,是,是,1.0,3603.45,3604.92,3593.20,3594.04,3594.05,3603.62,3592.21,3603.61
13,rule1,做多,2025-01-03 21:00,3606.67,2025-01-06 02:30,3683.18,215,3225,2.121,297.00,2.9700,28.1954,止盈,是,是,1.0,3608.88,3611.20,3600.00,3600.57,3600.57,3611.42,3595.00,3606.67
14,rule1,做多,2025-01-04 12:45,3635.52,2025-01-06 15:45,3712.64,205,3075,2.121,297.00,2.9700,31.1654,止盈,是,是,1.0,3635.97,3643.71,3626.79,3627.98,3627.99,3638.71,3622.52,3635.52
15,rule1,做多,2025-01-06 03:00,3665.92,2025-01-06 16:30,3743.69,55,825,2.121,297.00,2.9700,34.1354,止盈,是,是,1.0,3668.82,3672.68,3657.77,3658.46,3658.45,3669.93,3654.30,3665.92
16,rule1,做空,2025-01-05 00:15,3661.30,2025-01-07 14:45,3583.63,251,3765,2.121,297.00,2.9700,37.1054,止盈,是,是,1.0,3656.88,3670.00,3651.03,3667.30,3667.30,3675.25,3659.21,3661.30
17,rule1,做空,2025-01-06 14:30,3640.21,2025-01-07 14:45,3562.99,98,1470,2.121,297.00,2.9700,40.0754,止盈,是,是,1.0,3642.23,3643.37,3622.10,3634.23,3634.23,3651.52,3630.94,3640.21
18,rule1,做空,2025-01-07 00:30,3680.55,2025-01-07 14:45,3602.47,58,870,2.121,297.00,2.9700,43.0454,止盈,是,是,1.0,3677.50,3688.33,3673.04,3687.46,3687.47,3693.67,3679.01,3680.55
19,rule1,做多,2025-01-07 03:00,3683.14,2025-01-07 15:30,3445.39,51,765,6.455,-903.71,-9.0371,34.0083,跟踪止损,是,是,1.0,3686.03,3687.00,3676.00,3678.07,3678.07,3688.68,3674.24,3683.14
20,rule1,做空,2025-01-07 16:30,3484.90,2025-01-07 19:30,3402.76,13,195,2.357,330.00,3.3000,37.3083,止盈,否,否,1.0,3472.11,3485.59,3465.36,3480.01,3480.01,3491.70,3472.72,3484.90
21,rule1,做空,2025-01-07 18:00,3449.53,2025-01-07 20:30,3368.22,11,165,2.357,330.00,3.3000,40.6083,止盈,否,否,1.0,3451.60,3453.00,3420.00,3442.55,3442.56,3458.96,3440.05,3449.53
22,rule1,做空,2025-01-07 21:15,3400.55,2025-01-08 06:30,3320.39,38,570,2.357,330.00,5.2800,45.8883,止盈,否,否,1.6,3396.61,3408.99,3390.01,3407.89,3407.90,3414.04,3397.62,3400.55
23,rule1,做空,2025-01-08 10:30,3357.85,2025-01-08 17:00,3278.70,27,405,2.357,330.00,13.2000,59.0883,止盈,否,否,4.0,3354.99,3373.32,3350.89,3372.93,3372.93,3373.37,3357.36,3357.85
24,rule1,做空,2025-01-08 11:45,3349.79,2025-01-08 17:00,3270.83,22,330,2.357,330.00,3.3000,62.3883,止盈,否,否,1.0,3350.36,3351.67,3323.00,3341.11,3341.17,3356.07,3340.62,3349.79
