交易编号,方向,K2/K1比例,入场时间,入场价格,出场时间,出场价格,持仓K线数,合约收益%,盈亏USDT,累计资金USDT,结果
1,做多,0.618,2025-01-02 23:00,3485.62,2025-01-03 06:15,3427.41,29,-100.20,-1.0020,-1.0020,止损
2,做多,0.637,2025-01-09 22:00,3241.40,2025-01-09 23:15,3267.33,5,48.00,0.4800,-0.5220,止盈
3,做空,0.584,2025-01-10 10:30,3243.93,2025-01-10 15:30,3298.10,20,-100.20,-1.0020,-1.5240,止损
4,做多,0.560,2025-01-10 23:15,3230.73,2025-01-10 23:30,3256.58,1,48.00,0.4800,-1.0440,止盈
5,做空,0.552,2025-01-10 23:45,3245.14,2025-01-11 01:45,3299.33,8,-100.20,-1.0020,-2.0460,止损
6,做多,0.628,2025-01-13 10:45,3255.96,2025-01-13 14:45,3201.59,16,-100.20,-1.0020,-3.0480,止损
7,做空,0.530,2025-01-13 22:45,3034.41,2025-01-14 00:45,3010.13,8,48.00,0.4800,-2.5680,止盈
8,做多,0.667,2025-01-14 01:45,3020.79,2025-01-14 04:30,3044.96,11,48.00,0.4800,-2.0880,止盈
9,做空,0.591,2025-01-15 04:30,3215.08,2025-01-15 19:15,3189.36,59,48.00,0.4800,-1.6080,止盈
10,做空,0.542,2025-01-20 00:30,3402.50,2025-01-20 04:45,3375.28,17,48.00,0.4800,-1.1280,止盈
11,做多,1.183,2025-01-20 06:30,3253.01,2025-01-20 06:45,3198.68,1,-100.20,-1.0020,-2.1300,止损
12,做多,0.537,2025-01-20 19:00,3342.90,2025-01-20 19:15,3369.64,1,48.00,0.4800,-1.6500,止盈
13,做空,0.561,2025-01-20 21:00,3312.55,2025-01-20 23:00,3367.87,8,-100.20,-1.0020,-2.6520,止损
14,做空,1.481,2025-01-21 00:15,3349.01,2025-01-21 01:00,3322.22,3,48.00,0.4800,-2.1720,止盈
15,做多,0.559,2025-01-21 09:30,3237.43,2025-01-21 10:00,3263.33,2,48.00,0.4800,-1.6920,止盈
16,做空,0.524,2025-01-22 00:15,3316.51,2025-01-22 15:30,3289.98,61,48.00,0.4800,-1.2120,止盈
17,做空,0.521,2025-01-23 00:30,3272.00,2025-01-23 02:45,3245.82,9,48.00,0.4800,-0.7320,止盈
18,做多,0.675,2025-01-23 18:45,3203.99,2025-01-23 21:30,3229.62,11,48.00,0.4800,-0.2520,止盈
19,做多,0.550,2025-01-24 05:00,3232.17,2025-01-24 06:00,3258.03,4,48.00,0.4800,0.2280,止盈
20,做空,0.540,2025-01-24 09:30,3309.40,2025-01-24 10:45,3282.92,5,48.00,0.4800,0.7080,止盈
21,做多,0.584,2025-01-27 07:30,3240.90,2025-01-27 10:00,3186.78,10,-100.20,-1.0020,-0.2940,止损
22,做多,0.542,2025-01-27 17:30,3070.11,2025-01-27 20:45,3094.67,13,48.00,0.4800,0.1860,止盈
23,做多,0.538,2025-01-27 21:30,3110.51,2025-01-27 22:45,3135.39,5,48.00,0.4800,0.6660,止盈
24,做空,1.328,2025-01-27 22:15,3103.86,2025-01-28 00:45,3079.03,10,48.00,0.4800,1.1460,止盈
25,做空,0.571,2025-02-01 00:00,3412.42,2025-02-01 01:30,3385.12,6,48.00,0.4800,1.6260,止盈
26,做多,0.505,2025-02-02 23:30,3074.11,2025-02-03 00:45,3022.77,5,-100.20,-1.0020,0.6240,止损
27,做空,0.536,2025-02-03 04:15,2969.37,2025-02-03 04:45,2945.62,2,48.00,0.4800,1.1040,止盈
28,做多,1.148,2025-02-03 07:00,2838.31,2025-02-03 07:15,2790.91,1,-100.20,-1.0020,0.1020,止损
29,做多,0.599,2025-02-03 13:00,2465.33,2025-02-03 13:15,2485.05,1,48.00,0.4800,0.5820,止盈
30,做空,0.514,2025-02-03 13:30,2477.82,2025-02-03 13:45,2519.20,1,-100.20,-1.0020,-0.4200,止损
31,做空,0.553,2025-02-03 14:30,2511.10,2025-02-03 15:15,2553.04,3,-100.20,-1.0020,-1.4220,止损
