持仓K线数,持仓时长,交易次数,盈利次数,亏损次数,胜率%,平均收益率%,平均盈亏USDT,最大收益率%,最小收益率%,总盈亏USDT
1,15分钟,80,32,48,40.00,-0.101,-0.0507,0.914,-2.385,-4.0543
2,30分钟,80,31,49,38.75,-0.113,-0.0565,1.163,-2.598,-4.5167
3,45分钟,80,34,46,42.50,-0.121,-0.0606,1.538,-2.484,-4.8440
4,60分钟,80,35,45,43.75,-0.069,-0.0344,2.164,-3.008,-2.7552
5,75分钟,80,37,43,46.25,-0.057,-0.0287,2.273,-3.335,-2.2976
6,90分钟,79,40,39,50.63,0.012,0.0062,4.032,-3.412,0.4890
7,105分钟,79,36,43,45.57,0.005,0.0026,7.263,-3.515,0.2086
8,120分钟,79,38,41,48.10,-0.040,-0.0202,5.230,-3.645,-1.5969
9,135分钟,79,40,39,50.63,-0.035,-0.0173,2.970,-3.432,-1.3645
10,150分钟,79,42,37,53.16,0.010,0.0050,2.767,-2.631,0.3939
11,165分钟,79,41,38,51.90,0.012,0.0059,3.903,-2.780,0.4691
12,180分钟,79,41,38,51.90,-0.017,-0.0084,3.209,-2.468,-0.6618
13,195分钟,79,42,37,53.16,-0.013,-0.0063,2.757,-2.548,-0.4938
14,210分钟,78,39,39,50.00,-0.024,-0.0118,3.312,-2.294,-0.9203
15,225分钟,78,39,39,50.00,-0.033,-0.0163,2.696,-2.952,-1.2702
16,240分钟,78,40,38,51.28,-0.026,-0.0132,1.973,-2.290,-1.0267
17,255分钟,78,43,35,55.13,0.023,0.0115,3.549,-2.433,0.8996
18,270分钟,78,43,35,55.13,0.008,0.0042,3.916,-2.538,0.3294
19,285分钟,78,39,39,50.00,0.009,0.0047,3.825,-2.503,0.3692
20,300分钟,78,40,38,51.28,-0.014,-0.0071,3.664,-2.418,-0.5519
21,315分钟,78,37,41,47.44,-0.064,-0.0318,3.771,-4.436,-2.4839
22,330分钟,78,37,41,47.44,-0.071,-0.0357,4.253,-6.156,-2.7860
23,345分钟,78,36,42,46.15,-0.103,-0.0514,4.843,-9.315,-4.0078
24,360分钟,78,33,45,42.31,-0.056,-0.0281,4.857,-7.328,-2.1955
25,375分钟,78,35,43,44.87,-0.036,-0.0182,4.985,-5.117,-1.4172
26,390分钟,78,35,43,44.87,-0.076,-0.0381,4.255,-4.920,-2.9746
27,405分钟,78,35,43,44.87,-0.072,-0.0358,4.057,-6.030,-2.7930
28,420分钟,78,41,37,52.56,-0.053,-0.0265,3.208,-5.351,-2.0654
29,435分钟,78,39,39,50.00,-0.083,-0.0415,3.188,-4.910,-3.2376
30,450分钟,78,39,39,50.00,-0.066,-0.0330,3.903,-5.453,-2.5720
