持仓范围,总交易数,盈利次数,亏损次数,胜率%,总盈亏USDT,平均盈亏USDT,盈利总和USDT,亏损总和USDT,平均持仓K线数
1-10根K线,830,830,0,100.00,373.8145,0.4504,373.8145,0.0000,4.7
1-20根K线,1076,1076,0,100.00,483.3376,0.4492,483.3376,0.0000,7.0
1-30根K线,1209,1209,0,100.00,545.1556,0.4509,545.1556,0.0000,9.0
1-40根K线,1302,1302,0,100.00,590.5609,0.4536,590.5609,0.0000,10.8
1-50根K线,1366,1366,0,100.00,620.5643,0.4543,620.5643,0.0000,12.4
1-60根K线,1835,1401,434,76.35,464.5750,0.2532,638.1750,-173.6000,22.7
1-70根K线,1859,1418,441,76.28,476.5383,0.2563,652.9383,-176.4000,23.2
1-80根K线,1869,1426,443,76.30,479.0141,0.2563,656.2141,-177.2000,23.5
1-90根K线,1878,1431,447,76.20,480.7356,0.2560,659.5356,-178.8000,23.8
1-100根K线,1883,1433,450,76.10,480.3356,0.2551,660.3356,-180.0000,24.0
