direction,result,k1_range,k1_body_size,k1_open_close_pct,k2_high_ratio,k2_low_ratio,k2_body_high_ratio,k2_body_low_ratio,k2_body_center_ratio,breakthrough_strength,k2_body_size,k2_body_size_ratio,k2_upper_shadow_ratio,k2_lower_shadow_ratio,k1_high,k1_low,k2_high,k2_low,k2_body_high,k2_body_low
short,win,43.25999999999976,42.0,0.01239673080499057,1.1553398058252495,0.6631992602866438,0.9798890429958416,0.7156726768377302,0.8477808599167805,0.15533980582524945,11.429999999999836,0.27214285714285325,0.17545076282940794,0.05247341655108632,3430.87,3387.61,3437.59,3416.3,3430.0,3418.57
short,win,24.75,18.009999999999764,0.005292186898531576,1.0101010101010102,0.7272727272727273,0.8941414141414186,0.8278787878787791,0.8610101010100988,0.010101010101010102,1.6400000000003274,0.09106052193227923,0.11595959595959154,0.10060606060605179,3423.75,3399.0,3424.0,3417.0,3421.13,3419.49
long,win,24.770000000000437,19.0300000000002,0.005706882746501108,0.756964069438824,-0.33266047638270635,0.3625353249899015,0.09406540169561328,0.22830036334275738,0.33266047638270635,6.649999999999636,0.34944823962162724,0.39442874444892245,0.42672587807831963,3338.01,3313.24,3331.99,3305.0,3322.22,3315.57
short,loss,28.079999999999927,17.090000000000146,0.0051558054852461135,1.3682336182336243,0.5754985754985719,0.9344729344729453,0.6623931623931608,0.7984330484330531,0.3682336182336244,7.640000000000327,0.44704505558807855,0.43376068376067906,0.08689458689458907,3333.64,3305.56,3343.98,3321.72,3331.8,3324.16
short,win,48.38999999999987,44.57999999999993,0.013297856473830822,1.2101673899566046,0.6044637321760711,0.9712750568299261,0.852862161603639,0.9120686092167872,0.21016738995660467,5.730000000000018,0.12853297442799524,0.23889233312667857,0.24839842942756796,3398.39,3350.0,3408.56,3379.25,3397.0,3391.27
long,win,32.20000000000027,24.409999999999854,0.007279874026268343,0.13602484472049914,-0.3605590062111669,0.04596273291925483,0.02298136645963448,0.03447204968944466,0.3605590062111669,0.7399999999997817,0.03031544448995437,0.0900621118012443,0.3835403726708014,3359.4,3327.2,3331.58,3315.59,3328.68,3327.94
short,loss,42.19999999999982,37.909999999999854,0.011291542810167409,1.2706161137440788,0.7000000000000022,0.9218009478673047,0.7395734597156438,0.8306872037914796,0.27061611374407873,7.690000000000055,0.20284885254550472,0.348815165876774,0.039573459715641704,3398.58,3356.38,3410.0,3385.92,3395.28,3387.59
short,win,25.259999999999764,15.86999999999989,0.004740780570865227,1.2596991290577992,0.6809184481393499,0.9928741092636644,0.8733174980205919,0.9330958036421372,0.2596991290577992,3.019999999999982,0.1902961562696914,0.2668250197941348,0.19239904988124198,3366.62,3341.36,3373.18,3358.56,3366.44,3363.42
short,loss,39.51000000000022,23.65000000000009,0.007035779841077677,1.0005062009617813,0.5206276891926107,0.9083776259174925,0.7481650215135469,0.8282713237155197,0.0005062009617813642,6.329999999999927,0.26765327695559843,0.09212857504428885,0.22753733232093615,3394.98,3355.47,3395.0,3376.04,3391.36,3385.03
short,loss,34.97999999999956,27.929999999999836,0.008240688287777886,1.1300743281875425,0.748713550600341,0.8484848484848544,0.8347627215551796,0.8416237850200105,0.13007432818754255,0.4800000000000182,0.017185821697100645,0.28158947970268816,0.08604917095483865,3422.99,3388.01,3427.54,3414.2,3417.69,3417.21
short,win,30.769999999999982,25.59999999999991,0.007436780106613188,1.0965225869353201,0.6096847578810457,0.933051673708159,0.6421839454013577,0.7876178095547657,0.09652258693532018,8.950000000000273,0.3496093750000119,0.16347091322716115,0.032499187520312015,3470.0,3439.23,3472.97,3457.99,3467.94,3458.99
long,loss,19.5,15.429999999999836,0.004434213853828952,0.910769230769242,-0.00717948717948065,0.8538461538461585,0.36512820512819955,0.6094871794871907,0.00717948717948065,9.5300000000002,0.6176279974076669,0.05692307692308345,0.3723076923076802,3498.0,3478.5,3496.26,3478.36,3495.15,3485.62
long,win,31.199999999999818,16.079999999999927,0.00461322630342289,0.4525641025641017,-0.043589743589747924,0.3737179487179462,0.1487179487179455,0.2612179487179386,0.043589743589747924,7.019999999999982,0.43656716417910535,0.07884615384615547,0.19230769230769343,3489.08,3457.88,3472.0,3456.52,3469.54,3462.52
long,win,23.579999999999927,15.690000000000055,0.004530256570171351,0.5016963528413895,-0.4643765903308018,0.44614079728583605,0.3286683630195091,0.38740458015266294,0.4643765903308018,2.769999999999982,0.17654557042702182,0.055555555555553415,0.7930449533503109,3463.52,3439.94,3451.77,3428.99,3450.46,3447.69
short,loss,26.08999999999969,21.36999999999989,0.006169471365511555,1.3365274051360791,0.4361824453813641,0.8685320045994681,0.8313530088156327,0.8499425067075504,0.3365274051360791,0.9700000000002547,0.04539073467478987,0.467995400536611,0.3951705634342686,3489.6,3463.51,3498.38,3474.89,3486.17,3485.2
short,loss,24.40000000000009,22.440000000000055,0.0062942829734596835,1.2889344262295146,0.5852459016393503,0.9192622950819758,0.678278688524595,0.7987704918032854,0.2889344262295146,5.880000000000109,0.26203208556150154,0.3696721311475389,0.09303278688524481,3589.54,3565.14,3596.59,3579.42,3587.57,3581.69
long,win,37.73999999999978,33.34999999999991,0.009171133068053358,0.34525702172761724,-0.18388977212506874,0.2334393216746157,0.10784313725490692,0.17064122946476132,0.18388977212506874,4.739999999999782,0.14212893553222772,0.11181770005300157,0.2917329093799757,3636.74,3599.0,3612.03,3592.06,3607.81,3603.07
short,win,21.0,19.41000000000031,0.005290702428653286,1.407142857142866,0.6938095238095316,0.9342857142857307,0.7785714285714459,0.8564285714285992,0.4071428571428658,3.269999999999982,0.1684698608964415,0.47285714285713504,0.0847619047619143,3689.49,3668.49,3698.04,3683.06,3688.11,3684.84
long,loss,22.289999999999964,16.890000000000327,0.004621269330531658,0.40915208613727705,-0.3167339614176742,0.2987886944818244,0.2391206819201407,0.2689546882009825,0.3167339614176742,1.3299999999999272,0.07874481941976919,0.11036339165545268,0.5558546433378149,3654.9,3632.61,3641.73,3625.55,3639.27,3637.94
long,loss,69.40000000000009,37.90000000000009,0.010619964973730323,0.4599423631123924,-0.11239193083573734,0.2563400576368868,0.18530259365994395,0.2208213256484121,0.11239193083573734,4.929999999999836,0.13007915567281858,0.20360230547550562,0.2976945244956813,3582.4,3513.0,3544.92,3505.2,3530.79,3525.86
long,win,27.690000000000055,15.650000000000091,0.004601154845765788,0.7685084868183517,-0.2210184182015124,0.41747923438064005,0.21885157096424462,0.3181654026724423,0.2210184182015124,5.5,0.35143769968050914,0.35102925243771166,0.43986998916575704,3407.31,3379.62,3400.9,3373.5,3391.18,3385.68
long,win,24.440000000000055,20.029999999999745,0.005920167880946324,0.9570376432078487,-0.22340425531914992,0.6947626841243855,0.06301145662847628,0.37888707037642155,0.22340425531914992,15.440000000000055,0.7708437343984149,0.26227495908346316,0.2864157119476262,3386.21,3361.77,3385.16,3356.31,3378.75,3363.31
short,win,28.84999999999991,15.440000000000055,0.004590715693765979,1.0998266897747009,0.6367417677642964,0.778162911611797,0.7660311958405539,0.7720970537261754,0.0998266897747008,0.3500000000003638,0.0226683937824069,0.3216637781629038,0.12928942807625754,3385.16,3356.31,3388.04,3374.68,3378.76,3378.41
long,win,20.159999999999854,19.159999999999854,0.005640768981658626,0.7321428571428733,-0.09275793650793177,0.40426587301588046,0.049107142857154944,0.2266865079365177,0.09275793650793177,7.1599999999998545,0.3736951983298491,0.3278769841269928,0.14186507936508672,3396.7,3376.54,3391.3,3374.67,3384.69,3377.53
short,win,24.5,19.269999999999982,0.005698974657750985,1.33306122448979,0.8244897959183599,0.9816326530612319,0.9118367346938835,0.9467346938775577,0.33306122448979,1.7100000000000364,0.08873897249610992,0.35142857142855805,0.08734693877552357,3402.73,3378.23,3410.89,3398.43,3402.28,3400.57
short,win,22.43000000000029,17.940000000000055,0.005347258859191848,1.0022291573784987,0.28845296477932103,0.9826125724476005,0.31029870708871804,0.6464556397681592,0.0022291573784987296,15.079999999999927,0.8405797101449209,0.0196165849308983,0.02184574230939703,3373.32,3350.89,3373.37,3357.36,3372.93,3357.85
long,win,16.009999999999764,15.079999999999927,0.004470890294195233,0.40412242348531513,-0.19237976264834308,0.31792629606494477,0.030605871330405307,0.17426608369766083,0.19237976264834308,4.599999999999909,0.3050397877984039,0.08619612742037036,0.22298563397874838,3373.37,3357.36,3363.83,3354.28,3362.45,3357.85
short,win,26.559999999999945,17.670000000000073,0.0052910369773716305,1.0139307228915622,0.5459337349397602,0.829066265060242,0.6652861445783174,0.7471762048192712,0.013930722891562185,4.349999999999909,0.24617996604413644,0.1848644578313202,0.1193524096385572,3366.17,3339.61,3366.54,3354.11,3361.63,3357.28
long,win,46.63000000000011,25.140000000000327,0.0077160825381431455,0.4488526699549698,-0.39716920437486464,0.3049538923439893,0.1344627921938659,0.2197083422689325,0.39716920437486464,7.950000000000273,0.31622911694511413,0.1438987776109805,0.5316319965687305,3273.35,3226.72,3247.65,3208.2,3240.94,3232.99
short,win,17.5,15.639999999999873,0.0047015535568274355,1.3314285714285818,0.5622857142857226,0.9428571428571428,0.7914285714285922,0.8671428571428675,0.33142857142858184,2.649999999999636,0.16943734015343082,0.38857142857143895,0.2291428571428696,3343.2,3325.7,3349.0,3335.54,3342.2,3339.55
long,win,23.789999999999964,22.390000000000327,0.006747857954425686,0.23959646910465854,-0.560739806641453,0.02311895754517562,0.01723413198822426,0.020176544766690382,0.560739806641453,0.13999999999987267,0.006252791424737411,0.21647751155948292,0.5779739386296772,3319.09,3295.3,3301.0,3281.96,3295.85,3295.71
long,win,19.980000000000018,16.859999999999673,0.005079919854170649,0.3963963963963997,-0.705205205205189,0.1556556556556619,0.0820820820820984,0.11886886886889152,0.705205205205189,1.4699999999998,0.08718861209963395,0.24074074074073779,0.7872872872872875,3318.95,3298.97,3306.89,3284.88,3302.08,3300.61
long,loss,21.59999999999991,16.93000000000029,0.005121720268761829,0.41157407407406993,-0.3000000000000021,0.4101851851851718,0.058333333333322634,0.23425925925923666,0.3000000000000021,7.599999999999909,0.44890726520967383,0.001388888888898158,0.35833333333332473,3308.94,3287.34,3296.23,3280.86,3296.2,3288.6
long,loss,18.259999999999764,15.210000000000036,0.004614390466626834,0.526286966046016,-0.3094194961664931,0.3800657174151229,0.014238773274905088,0.197152245345014,0.3094194961664931,6.680000000000291,0.43918474687707265,0.14622124863089306,0.3236582694413982,3298.99,3280.73,3290.34,3275.08,3287.67,3280.99
long,win,43.92000000000007,31.940000000000055,0.009818689324865217,0.7969034608378858,-0.06193078324225399,0.6466302367941722,0.18306010928961636,0.41484517304189944,0.06193078324225399,20.360000000000127,0.6374452097683185,0.15027322404371352,0.24499089253187034,3256.92,3213.0,3248.0,3210.28,3241.4,3221.04
short,loss,37.7199999999998,20.360000000000127,0.006320939820679075,1.1378579003181295,0.4647401908801654,0.8250265111346781,0.750000000000003,0.7875132555673405,0.13785790031812953,2.8299999999999272,0.13899803536345332,0.3128313891834515,0.2852598091198376,3248.0,3210.28,3253.2,3227.81,3241.4,3238.57
long,loss,30.08999999999969,21.09999999999991,0.006356187492468945,0.5330674642738494,-0.0498504486540384,0.46527085410435837,0.29843801927549535,0.38185443668992686,0.0498504486540384,5.020000000000437,0.23791469194314968,0.06779661016949101,0.3482884679295338,3319.6,3289.51,3305.55,3288.01,3303.51,3298.49
long,win,48.40000000000009,16.090000000000146,0.005035000923135703,0.45681818181818357,-0.1652892561983468,0.28223140495867416,0.2797520661157012,0.28099173553718765,0.1652892561983468,0.11999999999989086,0.007458048477308252,0.17458677685950943,0.44504132231404797,3214.4,3166.0,3188.11,3158.0,3179.66,3179.54
