排名,止损延迟(K线),止损延迟(分钟),K1涨跌幅%,总交易数,胜率%,总盈亏USDT,收益率%,盈亏比,平均持仓K线数
1,50,750,0.42,514,71.21,98.4554,19.15,2.66,33.7
2,50,750,0.45,433,71.13,83.8124,19.36,2.68,32.6
3,50,750,0.46,412,71.12,80.1404,19.45,2.68,32.4
4,50,750,0.44,460,71.09,88.2321,19.18,2.66,33.1
5,50,750,0.39,612,71.08,114.7248,18.75,2.62,34.2
6,50,750,0.43,489,70.96,92.6321,18.94,2.63,33.6
7,50,750,0.41,548,70.80,102.5309,18.71,2.60,34.0
8,50,750,0.38,640,70.78,117.9248,18.43,2.58,34.3
9,50,750,0.47,393,70.74,75.7404,19.27,2.65,32.9
10,49,735,0.45,433,70.67,82.2124,18.99,2.62,32.2
11,49,735,0.44,460,70.65,86.6321,18.83,2.60,32.8
12,50,750,0.4,579,70.64,107.0308,18.49,2.57,34.3
13,49,735,0.46,412,70.63,78.5404,19.06,2.62,32.1
14,49,735,0.42,514,70.62,96.0554,18.69,2.59,33.3
15,50,750,0.37,677,70.61,123.2540,18.21,2.55,34.5
16,49,735,0.39,612,70.59,112.3248,18.35,2.56,33.9
17,50,750,0.34,819,70.57,146.8336,17.93,2.52,34.5
18,49,735,0.43,489,70.55,91.0321,18.62,2.58,33.3
19,48,720,0.45,433,70.44,81.4124,18.80,2.59,32.0
20,50,750,0.49,348,70.40,66.9480,19.24,2.62,32.9
21,48,720,0.46,412,70.39,77.7404,18.87,2.59,31.8
22,49,735,0.38,640,70.31,115.5248,18.05,2.52,34.0
23,48,720,0.39,612,70.26,110.7248,18.09,2.52,33.6
24,49,735,0.41,548,70.26,100.1309,18.27,2.54,33.7
25,48,720,0.42,514,70.23,94.4554,18.38,2.54,33.1
26,49,735,0.47,393,70.23,74.1404,18.87,2.58,32.6
27,48,720,0.44,460,70.22,85.0321,18.49,2.55,32.5
28,49,735,0.34,819,70.21,144.4336,17.64,2.48,34.2
29,49,735,0.37,677,70.16,120.8540,17.85,2.50,34.2
30,50,750,0.33,871,70.15,152.4336,17.50,2.47,34.5
31,48,720,0.43,489,70.14,89.4321,18.29,2.53,33.0
32,49,735,0.4,579,70.12,104.6308,18.07,2.51,34.0
33,48,720,0.38,640,70.00,113.9248,17.80,2.48,33.8
34,48,720,0.47,393,69.97,73.3404,18.66,2.55,32.4
35,50,750,0.48,373,69.97,69.7800,18.71,2.56,33.1
36,48,720,0.34,819,69.96,142.8336,17.44,2.45,33.9
37,50,750,0.35,764,69.90,133.3800,17.46,2.45,34.9
38,48,720,0.41,548,69.89,98.5309,17.98,2.49,33.4
39,48,720,0.37,677,69.87,119.2540,17.62,2.46,33.9
40,49,735,0.49,348,69.83,65.3480,18.78,2.56,32.5
41,49,735,0.33,871,69.80,150.0336,17.23,2.43,34.2
42,48,720,0.4,579,69.78,103.0308,17.79,2.47,33.7
43,50,750,0.32,926,69.65,157.6829,17.03,2.40,35.0
44,50,750,0.5,326,69.63,61.0682,18.73,2.54,32.9
45,47,705,0.39,612,69.61,106.3448,17.38,2.43,32.9
46,48,720,0.33,871,69.58,148.4336,17.04,2.40,34.0
47,50,750,0.36,719,69.54,124.0540,17.25,2.42,35.3
48,48,720,0.49,348,69.54,64.5480,18.55,2.52,32.3
49,45,675,0.45,433,69.52,77.0325,17.79,2.46,30.5
50,46,690,0.45,433,69.52,77.0325,17.79,2.46,30.8
51,47,705,0.45,433,69.52,77.0325,17.79,2.46,31.1
52,49,735,0.35,764,69.50,130.9800,17.14,2.41,34.6
53,47,705,0.42,514,69.46,90.0754,17.52,2.43,32.3
54,45,675,0.39,612,69.44,105.5448,17.25,2.41,32.4
55,46,690,0.39,612,69.44,105.5448,17.25,2.41,32.7
56,49,735,0.48,373,69.44,68.1800,18.28,2.50,32.7
57,45,675,0.46,412,69.42,73.3605,17.81,2.46,30.3
58,46,690,0.46,412,69.42,73.3605,17.81,2.46,30.6
59,47,705,0.46,412,69.42,73.3605,17.81,2.46,30.9
60,47,705,0.38,640,69.38,109.5448,17.12,2.40,33.1
61,50,750,0.31,973,69.37,162.8829,16.74,2.37,35.0
62,47,705,0.34,819,69.35,137.6537,16.81,2.37,33.3
63,45,675,0.44,460,69.35,80.6522,17.53,2.43,31.1
64,46,690,0.44,460,69.35,80.6522,17.53,2.43,31.4
65,47,705,0.44,460,69.35,80.6522,17.53,2.43,31.7
66,49,735,0.32,926,69.33,155.2829,16.77,2.37,34.7
67,47,705,0.43,489,69.33,85.0522,17.39,2.42,32.2
68,47,705,0.37,677,69.28,114.8740,16.97,2.38,33.3
69,45,675,0.42,514,69.26,89.2754,17.37,2.41,31.7
70,46,690,0.42,514,69.26,89.2754,17.37,2.41,32.0
71,48,720,0.35,764,69.24,129.3800,16.93,2.38,34.3
72,45,675,0.34,819,69.23,136.8537,16.71,2.36,32.8
73,46,690,0.34,819,69.23,136.8537,16.71,2.36,33.0
74,45,675,0.38,640,69.22,108.7448,16.99,2.38,32.5
75,46,690,0.38,640,69.22,108.7448,16.99,2.38,32.8
76,44,660,0.46,412,69.17,72.5605,17.61,2.43,29.9
77,48,720,0.48,373,69.17,67.3800,18.06,2.46,32.5
78,47,705,0.41,548,69.16,94.1509,17.18,2.39,32.7
79,50,750,0.51,311,69.13,57.4671,18.48,2.50,32.8
80,45,675,0.37,677,69.13,114.0740,16.85,2.36,32.7
81,46,690,0.37,677,69.13,114.0740,16.85,2.36,33.0
82,49,735,0.36,719,69.12,121.6540,16.92,2.37,34.9
83,45,675,0.43,489,69.12,84.2522,17.23,2.39,31.6
84,46,690,0.43,489,69.12,84.2522,17.23,2.39,31.9
85,48,720,0.32,926,69.11,153.6829,16.60,2.34,34.4
86,47,705,0.4,579,69.08,98.6509,17.04,2.38,33.0
87,49,735,0.31,973,69.06,160.4829,16.49,2.33,34.7
88,44,660,0.45,433,69.05,75.4325,17.42,2.41,30.1
89,50,750,0.54,268,69.03,50.5978,18.88,2.52,32.9
90,50,750,0.3,1046,69.02,171.2829,16.38,2.32,35.5
91,49,735,0.5,326,69.02,59.4682,18.24,2.47,32.5
92,47,705,0.33,871,69.00,143.2537,16.45,2.33,33.4
93,50,750,0.29,1122,68.98,182.4829,16.26,2.31,35.9
94,45,675,0.41,548,68.98,93.3509,17.03,2.37,32.1
95,46,690,0.41,548,68.98,93.3509,17.03,2.37,32.4
96,45,675,0.47,393,68.96,68.9605,17.55,2.41,30.8
97,46,690,0.47,393,68.96,68.9605,17.55,2.41,31.1
98,47,705,0.47,393,68.96,68.9605,17.55,2.41,31.4
99,44,660,0.44,460,68.91,79.0522,17.19,2.38,30.7
100,45,675,0.4,579,68.91,97.8509,16.90,2.36,32.4
101,46,690,0.4,579,68.91,97.8509,16.90,2.36,32.7
102,45,675,0.33,871,68.89,142.4537,16.36,2.31,32.9
103,46,690,0.33,871,68.89,142.4537,16.36,2.31,33.1
104,48,720,0.36,719,68.85,120.0540,16.70,2.34,34.7
105,44,660,0.39,612,68.79,102.3448,16.72,2.34,32.0
106,48,720,0.31,973,68.76,158.0829,16.25,2.30,34.4
107,49,735,0.3,1046,68.74,168.8829,16.15,2.29,35.2
108,50,750,0.28,1180,68.73,188.9984,16.02,2.28,36.5
109,47,705,0.35,764,68.72,125.0000,16.36,2.31,33.7
110,49,735,0.29,1122,68.72,180.0829,16.05,2.28,35.6
111,44,660,0.43,489,68.71,82.6522,16.90,2.35,31.2
112,48,720,0.5,326,68.71,58.6682,18.00,2.44,32.3
113,44,660,0.47,393,68.70,68.1605,17.34,2.39,30.4
114,43,645,0.46,412,68.69,70.9605,17.22,2.38,29.5
115,44,660,0.42,514,68.68,86.8754,16.90,2.35,31.3
116,44,660,0.38,640,68.59,105.5448,16.49,2.31,32.2
117,43,645,0.45,433,68.59,73.8325,17.05,2.36,29.7
118,45,675,0.35,764,68.59,124.2000,16.26,2.29,33.2
119,46,690,0.35,764,68.59,124.2000,16.26,2.29,33.4
120,47,705,0.32,926,68.57,148.5029,16.04,2.28,33.9
121,44,660,0.37,677,68.54,110.8740,16.38,2.30,32.4
122,44,660,0.34,819,68.50,132.0537,16.12,2.28,32.3
123,49,735,0.51,311,68.49,55.8671,17.96,2.43,32.4
124,43,645,0.44,460,68.48,77.4522,16.84,2.34,30.3
125,49,735,0.28,1180,68.47,186.5984,15.81,2.25,36.1
126,45,675,0.32,926,68.47,147.7029,15.95,2.26,33.3
127,46,690,0.32,926,68.47,147.7029,15.95,2.26,33.6
128,48,720,0.3,1046,68.45,166.4829,15.92,2.26,34.9
129,48,720,0.29,1122,68.45,177.6829,15.84,2.25,35.3
130,44,660,0.41,548,68.43,90.9509,16.60,2.31,31.8
131,44,660,0.4,579,68.39,95.4509,16.49,2.30,32.1
132,50,750,0.27,1275,68.39,199.7984,15.67,2.24,36.9
133,44,660,0.49,348,68.39,60.1680,17.29,2.37,30.3
134,45,675,0.49,348,68.39,60.1680,17.29,2.37,30.6
135,46,690,0.49,348,68.39,60.1680,17.29,2.37,30.9
136,47,705,0.49,348,68.39,60.1680,17.29,2.37,31.2
137,50,750,0.52,291,68.38,52.6097,18.08,2.43,32.8
138,50,750,0.53,278,68.35,50.5978,18.20,2.44,33.2
139,50,750,0.56,240,68.33,44.8145,18.67,2.47,32.5
140,43,645,0.39,612,68.30,99.9448,16.33,2.29,31.6
141,47,705,0.36,719,68.29,115.6740,16.09,2.27,34.1
142,49,735,0.54,268,68.28,48.9978,18.28,2.44,32.5
143,50,750,0.55,252,68.25,46.4145,18.42,2.45,33.4
144,47,705,0.31,973,68.24,152.9029,15.71,2.24,33.7
145,50,750,0.57,233,68.24,43.6145,18.72,2.47,32.6
146,48,720,0.28,1180,68.22,184.1984,15.61,2.23,35.9
147,41,615,0.46,412,68.20,69.3605,16.84,2.32,28.8
148,42,630,0.46,412,68.20,69.3605,16.84,2.32,29.1
149,44,660,0.33,871,68.20,137.6537,15.80,2.24,32.4
150,43,645,0.47,393,68.19,66.5605,16.94,2.33,30.0
151,48,720,0.51,311,68.17,55.0671,17.71,2.39,32.2
152,49,735,0.27,1275,68.16,197.3984,15.48,2.22,36.6
153,45,675,0.36,719,68.15,114.8740,15.98,2.25,33.5
154,46,690,0.36,719,68.15,114.8740,15.98,2.25,33.7
155,45,675,0.31,973,68.14,152.1029,15.63,2.23,33.1
156,46,690,0.31,973,68.14,152.1029,15.63,2.23,33.4
157,43,645,0.38,640,68.12,103.1448,16.12,2.26,31.8
158,43,645,0.49,348,68.10,59.3680,17.06,2.34,29.9
159,43,645,0.43,489,68.10,80.2522,16.41,2.29,30.8
160,44,660,0.48,373,68.10,63.0000,16.89,2.32,30.6
161,45,675,0.48,373,68.10,63.0000,16.89,2.32,30.8
162,46,690,0.48,373,68.10,63.0000,16.89,2.32,31.1
163,47,705,0.48,373,68.10,63.0000,16.89,2.32,31.5
164,43,645,0.37,677,68.09,108.4740,16.02,2.26,32.0
165,43,645,0.42,514,68.09,84.4754,16.43,2.29,30.9
166,50,750,0.25,1443,68.05,220.5984,15.29,2.20,37.3
167,43,645,0.34,819,68.01,128.8537,15.73,2.23,31.9
168,47,705,0.29,1122,68.00,172.5029,15.37,2.20,34.6
169,50,750,0.26,1356,67.99,207.3984,15.29,2.19,37.3
170,47,705,0.3,1046,67.97,161.3029,15.42,2.20,34.2
171,48,720,0.27,1275,67.92,194.9984,15.29,2.19,36.3
172,49,735,0.56,240,67.92,44.0145,18.34,2.43,32.2
173,48,720,0.54,268,67.91,48.1978,17.98,2.40,32.2
174,43,645,0.41,548,67.88,88.5509,16.16,2.26,31.4
175,45,675,0.3,1046,67.88,160.5029,15.34,2.19,33.7
176,46,690,0.3,1046,67.88,160.5029,15.34,2.19,33.9
177,43,645,0.4,579,67.88,93.0509,16.07,2.25,31.7
178,49,735,0.25,1443,67.84,218.1984,15.12,2.18,37.0
179,45,675,0.29,1122,67.83,170.9029,15.23,2.18,34.1
180,46,690,0.29,1122,67.83,170.9029,15.23,2.18,34.3
181,44,660,0.32,926,67.82,142.9029,15.43,2.20,32.9
182,49,735,0.57,233,67.81,42.8145,18.38,2.43,32.3
183,44,660,0.35,764,67.80,119.4000,15.63,2.21,32.6
184,47,705,0.28,1180,67.80,179.0184,15.17,2.18,35.2
185,49,735,0.26,1356,67.77,204.9984,15.12,2.17,36.9
186,43,645,0.33,871,67.74,134.4537,15.44,2.20,31.9
187,39,585,0.46,412,67.72,67.7605,16.45,2.27,28.0
188,40,600,0.46,412,67.72,67.7605,16.45,2.27,28.4
189,50,750,0.24,1561,67.71,233.4054,14.95,2.16,37.4
190,49,735,0.52,291,67.70,51.0097,17.53,2.36,32.4
191,41,615,0.47,393,67.68,64.9605,16.53,2.28,29.3
192,42,630,0.47,393,67.68,64.9605,16.53,2.28,29.6
193,41,615,0.45,433,67.67,70.6325,16.31,2.26,28.9
194,42,630,0.45,433,67.67,70.6325,16.31,2.26,29.2
195,42,630,0.39,612,67.65,96.7448,15.81,2.22,31.3
196,48,720,0.25,1443,67.64,215.7984,14.95,2.16,36.7
197,45,675,0.28,1180,67.63,177.4184,15.04,2.16,34.7
198,46,690,0.28,1180,67.63,177.4184,15.04,2.16,34.9
199,49,735,0.53,278,67.63,48.9978,17.63,2.36,32.8
200,50,750,0.6,210,67.62,39.0276,18.58,2.43,32.8
201,41,615,0.44,460,67.61,74.2522,16.14,2.25,29.5
202,42,630,0.44,460,67.61,74.2522,16.14,2.25,29.8
203,43,645,0.48,373,67.56,61.4000,16.46,2.27,30.1
204,48,720,0.26,1356,67.55,202.5984,14.94,2.15,36.6
205,47,705,0.27,1275,67.53,189.8184,14.89,2.15,35.7
206,41,615,0.49,348,67.53,57.7680,16.60,2.28,29.2
207,42,630,0.49,348,67.53,57.7680,16.60,2.28,29.5
208,44,660,0.31,973,67.52,147.3029,15.14,2.17,32.7
209,49,735,0.24,1561,67.52,231.0054,14.80,2.14,37.1
210,42,630,0.37,677,67.50,105.2740,15.55,2.20,31.6
211,42,630,0.38,640,67.50,99.9448,15.62,2.20,31.4
212,48,720,0.56,240,67.50,43.2145,18.01,2.39,31.9
213,44,660,0.5,326,67.48,54.2882,16.65,2.28,30.2
214,45,675,0.5,326,67.48,54.2882,16.65,2.28,30.5
215,46,690,0.5,326,67.48,54.2882,16.65,2.28,30.8
216,47,705,0.5,326,67.48,54.2882,16.65,2.28,31.1
217,41,615,0.39,612,67.48,95.9448,15.68,2.21,31.0
218,49,735,0.55,252,67.46,44.8145,17.78,2.37,32.9
219,44,660,0.36,719,67.45,110.8740,15.42,2.18,33.0
220,50,750,0.58,221,67.42,40.1484,18.17,2.39,33.3
221,42,630,0.34,819,67.40,124.8537,15.24,2.17,31.5
222,48,720,0.57,233,67.38,42.0145,18.03,2.38,32.1
223,45,675,0.27,1275,67.37,188.2184,14.76,2.13,35.2
224,46,690,0.27,1275,67.37,188.2184,14.76,2.13,35.4
225,41,615,0.37,677,67.36,104.4740,15.43,2.18,31.3
