排名,止盈%,止损%,K1涨跌幅%,总交易数,胜率%,总盈亏USDT,收益率%,盈亏比
1,20,10,0.1,1737,47.78,2.7838,0.16,1.05
2,25,10,0.1,1737,47.38,2.2593,0.13,1.04
3,20,10,0.3,330,46.97,1.6205,0.49,1.11
4,25,15,0.3,330,49.39,1.6180,0.49,1.11
5,25,10,0.3,330,45.45,1.3905,0.42,1.09
6,25,20,0.3,330,50.91,1.3614,0.41,1.08
7,20,15,0.3,330,50.30,1.3595,0.41,1.09
8,85,15,0.3,330,48.48,1.2895,0.39,1.08
9,80,15,0.3,330,48.48,1.2395,0.38,1.08
10,90,15,0.3,330,48.48,1.2085,0.37,1.08
11,95,15,0.3,330,48.48,1.2085,0.37,1.08
12,100,15,0.3,330,48.48,1.2085,0.37,1.08
13,75,15,0.3,330,48.48,1.1895,0.36,1.08
14,20,20,0.3,330,51.82,1.1528,0.35,1.07
15,70,15,0.3,330,48.48,1.1395,0.35,1.07
16,85,15,0.35,217,46.54,1.1393,0.53,1.10
17,25,15,0.35,217,47.47,1.1210,0.52,1.10
18,100,10,0.1,1737,47.04,1.1019,0.06,1.02
19,85,20,0.3,330,50.00,1.0982,0.33,1.07
20,65,15,0.3,330,48.48,1.0895,0.33,1.07
21,80,15,0.35,217,46.54,1.0893,0.50,1.10
22,90,15,0.35,217,46.54,1.0584,0.49,1.10
23,95,15,0.35,217,46.54,1.0584,0.49,1.10
24,100,15,0.35,217,46.54,1.0584,0.49,1.10
25,85,10,0.3,330,44.55,1.0564,0.32,1.07
26,95,10,0.1,1737,47.04,1.0519,0.06,1.02
27,80,20,0.3,330,50.00,1.0482,0.32,1.06
28,20,10,0.35,217,44.70,1.0447,0.48,1.10
29,60,15,0.3,330,48.48,1.0395,0.31,1.07
30,75,15,0.35,217,46.54,1.0393,0.48,1.09
31,85,10,0.1,1737,47.04,1.0329,0.06,1.02
32,85,10,0.35,217,42.40,1.0206,0.47,1.10
33,90,20,0.3,330,50.00,1.0173,0.31,1.06
34,95,20,0.3,330,50.00,1.0173,0.31,1.06
35,100,20,0.3,330,50.00,1.0173,0.31,1.06
36,25,10,0.35,217,43.32,1.0078,0.46,1.10
37,80,10,0.3,330,44.55,1.0064,0.30,1.07
38,90,10,0.1,1737,47.04,1.0019,0.06,1.02
39,75,20,0.3,330,50.00,0.9982,0.30,1.06
40,55,15,0.3,330,48.48,0.9895,0.30,1.06
41,70,15,0.35,217,46.54,0.9893,0.46,1.09
42,90,10,0.3,330,44.55,0.9755,0.30,1.07
43,95,10,0.3,330,44.55,0.9755,0.30,1.07
44,100,10,0.3,330,44.55,0.9755,0.30,1.07
45,80,10,0.35,217,42.40,0.9706,0.45,1.09
46,75,10,0.3,330,44.55,0.9564,0.29,1.06
47,70,20,0.3,330,50.00,0.9482,0.29,1.06
48,90,10,0.35,217,42.40,0.9396,0.43,1.09
49,95,10,0.35,217,42.40,0.9396,0.43,1.09
50,100,10,0.35,217,42.40,0.9396,0.43,1.09
51,65,15,0.35,217,46.54,0.9393,0.43,1.09
52,80,10,0.1,1737,47.04,0.9329,0.05,1.02
53,25,10,0.4,159,43.40,0.9300,0.58,1.12
54,75,10,0.35,217,42.40,0.9206,0.42,1.09
55,20,15,0.35,217,48.39,0.9139,0.42,1.09
56,50,15,0.3,330,48.48,0.9134,0.28,1.06
57,70,10,0.3,330,44.55,0.9064,0.27,1.06
58,65,20,0.3,330,50.00,0.8982,0.27,1.06
59,60,15,0.35,217,46.54,0.8893,0.41,1.08
60,25,25,0.3,330,51.21,0.8748,0.27,1.05
61,70,10,0.35,217,42.40,0.8706,0.40,1.08
62,65,10,0.3,330,44.55,0.8564,0.26,1.06
63,60,20,0.3,330,50.00,0.8482,0.26,1.05
64,55,15,0.35,217,46.54,0.8393,0.39,1.08
65,20,10,0.4,159,44.65,0.8373,0.53,1.11
66,45,15,0.3,330,48.48,0.8370,0.25,1.05
67,75,10,0.1,1737,47.04,0.8329,0.05,1.01
68,65,10,0.35,217,42.40,0.8206,0.38,1.08
69,60,10,0.3,330,44.55,0.8064,0.24,1.05
70,55,20,0.3,330,50.00,0.7982,0.24,1.05
71,60,10,0.35,217,42.40,0.7706,0.36,1.07
72,50,15,0.35,217,46.54,0.7632,0.35,1.07
73,55,10,0.3,330,44.55,0.7564,0.23,1.05
74,20,10,0.2,718,46.38,0.7334,0.10,1.03
