重叠类型,信号1入场时间,信号1方向,信号1出场时间,信号1结果,信号1收益%,信号2入场时间,信号2方向,信号2出场时间,信号2结果,信号2收益%,合并收益%,合并盈亏(杠杆)
反向重叠-做空遇到做多,2025-01-02 18:00,做空,2025-01-03 01:45,take_profit,0.67%,2025-01-02 23:00,做多,2025-01-03 16:30,stop_loss,-1.67%,-1.00%,-0.60%
同向重叠-做多,2025-01-02 23:00,做多,2025-01-03 16:30,stop_loss,-1.67%,2025-01-03 01:45,做多,2025-01-03 03:15,take_profit,0.67%,-1.00%,-0.60%
同向重叠-做空,2025-01-20 00:30,做空,2025-01-20 04:45,take_profit,0.67%,2025-01-20 02:00,做空,2025-01-20 02:15,take_profit,0.67%,1.33%,+0.80%
同向重叠-做空,2025-01-20 10:30,做空,2025-01-20 13:00,stop_loss,-1.67%,2025-01-20 12:45,做空,2025-01-20 14:45,stop_loss,-1.67%,-3.33%,-2.00%
同向重叠-做多,2025-01-20 17:30,做多,2025-01-20 20:30,stop_loss,-1.67%,2025-01-20 18:30,做多,2025-01-20 20:30,stop_loss,-1.67%,-3.33%,-2.00%
同向重叠-做多,2025-01-20 17:30,做多,2025-01-20 20:30,stop_loss,-1.67%,2025-01-20 19:00,做多,2025-01-20 19:15,take_profit,0.67%,-1.00%,-0.60%
同向重叠-做多,2025-01-20 18:30,做多,2025-01-20 20:30,stop_loss,-1.67%,2025-01-20 19:00,做多,2025-01-20 19:15,take_profit,0.67%,-1.00%,-0.60%
反向重叠-做空遇到做多,2025-01-22 00:15,做空,2025-01-22 15:15,take_profit,0.67%,2025-01-22 03:15,做多,2025-01-22 08:45,take_profit,0.67%,1.33%,+0.80%
同向重叠-做多,2025-01-22 22:30,做多,2025-01-23 09:45,stop_loss,-1.67%,2025-01-22 23:30,做多,2025-01-23 09:45,stop_loss,-1.67%,-3.33%,-2.00%
反向重叠-做多遇到做空,2025-01-22 22:30,做多,2025-01-23 09:45,stop_loss,-1.67%,2025-01-23 00:30,做空,2025-01-23 02:45,take_profit,0.67%,-1.00%,-0.60%
反向重叠-做多遇到做空,2025-01-22 23:30,做多,2025-01-23 09:45,stop_loss,-1.67%,2025-01-23 00:30,做空,2025-01-23 02:45,take_profit,0.67%,-1.00%,-0.60%
同向重叠-做空,2025-01-24 13:15,做空,2025-01-25 04:15,take_profit,0.67%,2025-01-24 14:00,做空,2025-01-24 15:30,take_profit,0.67%,1.33%,+0.80%
同向重叠-做空,2025-01-30 21:30,做空,2025-01-31 04:30,take_profit,0.67%,2025-01-30 23:30,做空,2025-01-31 04:30,take_profit,0.67%,1.33%,+0.80%
同向重叠-做空,2025-02-04 02:30,做空,2025-02-04 04:45,take_profit,0.67%,2025-02-04 03:15,做空,2025-02-04 04:00,take_profit,0.67%,1.33%,+0.80%
同向重叠-做空,2025-02-06 05:00,做空,2025-02-06 06:30,take_profit,0.67%,2025-02-06 05:30,做空,2025-02-06 06:15,take_profit,0.67%,1.33%,+0.80%
同向重叠-做多,2025-02-15 06:45,做多,2025-02-15 11:00,take_profit,0.67%,2025-02-15 08:30,做多,2025-02-15 10:00,take_profit,0.67%,1.33%,+0.80%
反向重叠-做空遇到做多,2025-02-26 00:45,做空,2025-02-26 04:00,stop_loss,-1.67%,2025-02-26 01:45,做多,2025-02-26 03:30,take_profit,0.67%,-1.00%,-0.60%
反向重叠-做空遇到做多,2025-02-26 00:45,做空,2025-02-26 04:00,stop_loss,-1.67%,2025-02-26 02:30,做多,2025-02-26 03:30,take_profit,0.67%,-1.00%,-0.60%
同向重叠-做多,2025-02-26 01:45,做多,2025-02-26 03:30,take_profit,0.67%,2025-02-26 02:30,做多,2025-02-26 03:30,take_profit,0.67%,1.33%,+0.80%
反向重叠-做多遇到做空,2025-02-27 12:15,做多,2025-02-27 13:30,take_profit,0.67%,2025-02-27 13:15,做空,2025-02-27 15:15,stop_loss,-1.67%,-1.00%,-0.60%
同向重叠-做空,2025-03-04 04:45,做空,2025-03-04 05:45,take_profit,0.67%,2025-03-04 05:15,做空,2025-03-04 05:45,take_profit,0.67%,1.33%,+0.80%
同向重叠-做空,2025-03-04 12:15,做空,2025-03-04 15:15,take_profit,0.67%,2025-03-04 13:30,做空,2025-03-04 15:00,take_profit,0.67%,1.33%,+0.80%
反向重叠-做空遇到做多,2025-03-04 12:15,做空,2025-03-04 15:15,take_profit,0.67%,2025-03-04 14:45,做多,2025-03-04 17:00,take_profit,0.67%,1.33%,+0.80%
反向重叠-做空遇到做多,2025-03-04 13:30,做空,2025-03-04 15:00,take_profit,0.67%,2025-03-04 14:45,做多,2025-03-04 17:00,take_profit,0.67%,1.33%,+0.80%
同向重叠-做空,2025-03-05 23:00,做空,2025-03-06 00:00,take_profit,0.67%,2025-03-05 23:30,做空,2025-03-06 00:00,take_profit,0.67%,1.33%,+0.80%
同向重叠-做空,2025-03-06 10:15,做空,2025-03-06 13:30,stop_loss,-1.67%,2025-03-06 11:00,做空,2025-03-06 20:45,take_profit,0.67%,-1.00%,-0.60%
反向重叠-做空遇到做多,2025-03-06 11:00,做空,2025-03-06 20:45,take_profit,0.67%,2025-03-06 20:15,做多,2025-03-06 22:00,stop_loss,-1.67%,-1.00%,-0.60%
同向重叠-做多,2025-03-06 20:15,做多,2025-03-06 22:00,stop_loss,-1.67%,2025-03-06 20:45,做多,2025-03-06 22:45,stop_loss,-1.67%,-3.33%,-2.00%
反向重叠-做多遇到做空,2025-03-27 23:45,做多,2025-03-28 05:30,take_profit,0.67%,2025-03-28 02:45,做空,2025-03-28 08:15,take_profit,0.67%,1.33%,+0.80%
反向重叠-做空遇到做多,2025-03-29 02:00,做空,2025-03-29 09:30,stop_loss,-1.67%,2025-03-29 05:00,做多,2025-03-29 06:45,take_profit,0.67%,-1.00%,-0.60%
反向重叠-做多遇到做空,2025-04-03 22:30,做多,2025-04-03 23:30,take_profit,0.67%,2025-04-03 23:00,做空,2025-04-04 03:00,stop_loss,-1.67%,-1.00%,-0.60%
反向重叠-做多遇到做空,2025-04-09 03:15,做多,2025-04-09 04:30,take_profit,0.67%,2025-04-09 03:45,做空,2025-04-09 06:15,take_profit,0.67%,1.33%,+0.80%
同向重叠-做空,2025-04-09 23:45,做空,2025-04-10 01:15,stop_loss,-1.67%,2025-04-10 00:15,做空,2025-04-10 01:15,stop_loss,-1.67%,-3.33%,-2.00%
同向重叠-做空,2025-04-12 00:45,做空,2025-04-12 09:45,take_profit,0.67%,2025-04-12 03:15,做空,2025-04-12 09:00,take_profit,0.67%,1.33%,+0.80%
同向重叠-做空,2025-04-12 00:45,做空,2025-04-12 09:45,take_profit,0.67%,2025-04-12 05:15,做空,2025-04-12 05:30,take_profit,0.67%,1.33%,+0.80%
同向重叠-做空,2025-04-12 03:15,做空,2025-04-12 09:00,take_profit,0.67%,2025-04-12 05:15,做空,2025-04-12 05:30,take_profit,0.67%,1.33%,+0.80%
同向重叠-做多,2025-04-14 13:45,做多,2025-04-14 15:45,take_profit,0.67%,2025-04-14 15:15,做多,2025-04-14 15:45,take_profit,0.67%,1.33%,+0.80%
反向重叠-做空遇到做多,2025-04-14 16:00,做空,2025-04-14 18:30,stop_loss,-1.67%,2025-04-14 17:30,做多,2025-04-14 18:00,take_profit,0.67%,-1.00%,-0.60%
同向重叠-做空,2025-04-15 11:00,做空,2025-04-15 22:15,take_profit,0.67%,2025-04-15 18:00,做空,2025-04-15 18:30,take_profit,0.67%,1.33%,+0.80%
同向重叠-做空,2025-04-30 22:30,做空,2025-05-01 04:00,stop_loss,-1.67%,2025-05-01 02:15,做空,2025-05-01 10:00,stop_loss,-1.67%,-3.33%,-2.00%
