交易编号,策略类型,方向,入场时间,入场价格,出场时间,出场价格,持仓时长,价格变动%,合约收益%,盈亏USDT,累计资金USDT,结果,K1最高,K1最低,K2最高,K2最低
1,rule1,做多,2025-07-24 05:30,117846.21,2025-07-24 05:45,118181.36,15分钟,0.284%,14.22%,0.1422,0.1422,收盘价平仓,118058.00,117405.53,117968.03,117381.80
2,rule1,做多,2025-07-25 11:45,115419.66,2025-07-25 12:00,115234.01,15分钟,-0.161%,-8.04%,-0.0804,0.0618,收盘价平仓,116024.05,115349.58,115696.74,115330.86
3,rule1,做多,2025-07-25 16:45,115202.55,2025-07-25 17:00,115332.00,15分钟,0.112%,5.62%,0.0562,0.1180,收盘价平仓,115747.91,115095.69,115563.00,115008.85
4,rule1,做空,2025-07-25 17:30,115565.90,2025-07-25 17:45,116033.44,15分钟,-0.405%,-20.23%,-0.2023,-0.0843,收盘价平仓,115800.00,115164.54,115883.86,115565.90
5,rule1,做空,2025-07-26 04:45,117040.01,2025-07-26 05:00,117286.74,15分钟,-0.211%,-10.54%,-0.1054,-0.1897,收盘价平仓,117237.02,116732.30,117306.00,116993.65
6,rule1,做多,2025-07-28 15:15,119067.88,2025-07-28 15:30,118907.18,15分钟,-0.135%,-6.75%,-0.0675,-0.2572,收盘价平仓,119448.03,118888.00,119142.76,118823.50
7,rule1,做空,2025-07-30 23:00,118375.20,2025-07-30 23:15,118161.15,15分钟,0.181%,9.04%,0.0904,-0.1668,收盘价平仓,118728.15,118063.49,118792.00,118308.11
8,rule2,做多,2025-08-01 08:45,115427.27,2025-08-01 09:00,114649.90,15分钟,-0.673%,-33.67%,-0.3367,-0.5035,收盘价平仓,115933.00,115313.00,115800.00,115423.87
9,rule1,做空,2025-08-01 22:30,115432.08,2025-08-01 22:45,115619.80,15分钟,-0.163%,-8.13%,-0.0813,-0.5848,收盘价平仓,115748.90,114922.01,115831.28,115367.71
10,rule1,做多,2025-08-03 04:00,112352.98,2025-08-03 04:15,112427.95,15分钟,0.067%,3.34%,0.0334,-0.5515,收盘价平仓,112762.01,112222.28,112377.87,112069.86
11,rule1,做多,2025-08-05 22:45,113037.12,2025-08-05 23:00,113187.78,15分钟,0.133%,6.66%,0.0666,-0.4848,收盘价平仓,113268.09,112750.00,113066.52,112650.00
12,rule1,做空,2025-08-06 13:15,113927.19,2025-08-06 13:30,114244.53,15分钟,-0.279%,-13.93%,-0.1393,-0.6241,收盘价平仓,113932.19,113384.81,114138.78,113810.98
13,rule1,做空,2025-08-06 23:00,115030.00,2025-08-06 23:15,114947.89,15分钟,0.071%,3.57%,0.0357,-0.5884,收盘价平仓,115200.00,114157.96,115300.00,114832.38
14,rule1,做空,2025-08-07 18:45,116347.22,2025-08-07 19:00,116482.42,15分钟,-0.116%,-5.81%,-0.0581,-0.6465,收盘价平仓,116384.49,115839.71,116430.01,116249.49
15,rule1,做多,2025-08-08 00:45,116259.24,2025-08-08 01:00,116393.12,15分钟,0.115%,5.76%,0.0576,-0.5889,收盘价平仓,116715.99,116100.00,116310.68,115632.31
16,rule1,做多,2025-08-11 20:45,119643.70,2025-08-11 21:00,119523.48,15分钟,-0.100%,-5.02%,-0.0502,-0.6392,收盘价平仓,120290.87,119600.00,119783.24,119536.75
17,rule1,做空,2025-08-11 21:45,120010.00,2025-08-11 22:00,120067.19,15分钟,-0.048%,-2.38%,-0.0238,-0.6630,收盘价平仓,120220.71,119496.00,120328.93,119823.26
18,rule1,做多,2025-08-12 00:45,119953.65,2025-08-12 01:00,119907.10,15分钟,-0.039%,-1.94%,-0.0194,-0.6824,收盘价平仓,120599.89,119950.00,120171.49,119920.00
19,rule1,做空,2025-08-13 02:15,119776.01,2025-08-13 02:30,119561.50,15分钟,0.179%,8.95%,0.0895,-0.5929,收盘价平仓,119784.31,119269.99,120073.01,119712.00
20,rule1,做多,2025-08-14 06:45,122954.03,2025-08-14 07:00,123000.00,15分钟,0.037%,1.87%,0.0187,-0.5742,收盘价平仓,123584.41,122910.62,123637.68,122903.85
21,rule1,做多,2025-08-14 08:45,123847.83,2025-08-14 09:00,123609.52,15分钟,-0.192%,-9.62%,-0.0962,-0.6704,收盘价平仓,124474.00,123666.01,123847.84,123489.84
22,rule1,做多,2025-08-14 21:00,119249.19,2025-08-14 21:15,118235.05,15分钟,-0.850%,-42.52%,-0.4252,-1.0956,收盘价平仓,119732.83,118700.00,119249.20,118060.00
23,rule1,做多,2025-08-14 21:30,118270.02,2025-08-14 21:45,118428.85,15分钟,0.134%,6.71%,0.0671,-1.0285,收盘价平仓,119249.20,118006.44,118665.67,117727.73
24,rule1,做多,2025-08-15 00:15,117639.17,2025-08-15 00:30,117707.55,15分钟,0.058%,2.91%,0.0291,-0.9994,收盘价平仓,118257.26,117612.00,117901.86,117414.09
25,rule1,做空,2025-08-18 14:00,115426.05,2025-08-18 14:15,115189.74,15分钟,0.205%,10.24%,0.1024,-0.8970,收盘价平仓,115688.00,115000.00,115712.49,115407.80
26,rule2,做空,2025-08-18 22:15,115375.30,2025-08-18 22:30,115148.39,15分钟,0.197%,9.83%,0.0983,-0.7987,收盘价平仓,115500.00,114825.00,115222.56,114839.14
27,rule1,做空,2025-08-18 23:00,115472.60,2025-08-18 23:15,115634.27,15分钟,-0.140%,-7.00%,-0.0700,-0.8687,收盘价平仓,115633.73,114919.79,115716.58,115451.92
28,rule1,做空,2025-08-19 09:00,116422.15,2025-08-19 09:15,116206.72,15分钟,0.185%,9.25%,0.0925,-0.7762,收盘价平仓,116563.55,116021.06,116725.69,116422.15
29,rule1,做多,2025-08-19 21:45,115192.00,2025-08-19 22:00,114797.22,15分钟,-0.343%,-17.14%,-0.1714,-0.9475,收盘价平仓,115875.84,115032.76,115378.74,114869.60
30,rule1,做空,2025-08-20 03:30,113421.14,2025-08-20 03:45,113132.48,15分钟,0.255%,12.73%,0.1273,-0.8203,收盘价平仓,113430.14,112767.06,113552.03,113312.00
31,rule1,做空,2025-08-21 01:45,114197.53,2025-08-21 02:00,113663.28,15分钟,0.468%,23.39%,0.2339,-0.5864,收盘价平仓,114263.29,113781.16,114444.00,114111.59
32,rule1,做多,2025-08-21 23:15,113032.80,2025-08-21 23:30,113021.50,15分钟,-0.010%,-0.50%,-0.0050,-0.5914,收盘价平仓,113386.31,112700.03,113184.44,112608.64
33,rule1,做空,2025-08-22 22:15,115190.03,2025-08-22 22:30,115780.00,15分钟,-0.512%,-25.61%,-0.2561,-0.8475,收盘价平仓,115211.00,112468.35,115764.00,114609.00
34,rule1,做空,2025-08-22 22:45,115808.23,2025-08-22 23:00,116647.26,15分钟,-0.724%,-36.22%,-0.3622,-1.2097,收盘价平仓,116077.00,115190.03,116116.11,115747.20
35,rule1,做空,2025-08-22 23:15,116725.00,2025-08-22 23:30,116949.63,15分钟,-0.192%,-9.62%,-0.0962,-1.3059,收盘价平仓,116741.44,115808.23,116988.00,116606.33
36,rule2,做多,2025-08-23 00:15,116407.68,2025-08-23 00:30,116460.00,15分钟,0.045%,2.25%,0.0225,-1.2835,收盘价平仓,117296.12,116370.74,116783.22,116370.74
37,rule1,做多,2025-08-25 04:00,112152.57,2025-08-25 04:15,112855.29,15分钟,0.627%,31.33%,0.3133,-0.9702,收盘价平仓,113079.32,112000.00,112600.00,111632.85
38,rule1,做多,2025-08-25 21:45,111491.69,2025-08-25 22:00,111833.49,15分钟,0.307%,15.33%,0.1533,-0.8169,收盘价平仓,111708.57,110815.00,111537.94,110588.00
39,rule1,做空,2025-08-26 05:45,109888.01,2025-08-26 06:00,110024.99,15分钟,-0.125%,-6.23%,-0.0623,-0.8792,收盘价平仓,110162.50,109274.10,110280.50,109888.00
40,rule2,做空,2025-08-27 03:45,111116.03,2025-08-27 04:00,111262.68,15分钟,-0.132%,-6.60%,-0.0660,-0.9452,收盘价平仓,111147.50,110605.60,111133.12,110830.10
41,rule1,做空,2025-08-27 22:30,111931.82,2025-08-27 22:45,111815.94,15分钟,0.104%,5.18%,0.0518,-0.8934,收盘价平仓,112226.24,111536.56,112625.00,111931.81
42,rule2,做多,2025-08-28 23:45,112678.53,2025-08-29 00:00,112925.99,15分钟,0.220%,10.98%,0.1098,-0.7836,收盘价平仓,113250.00,112443.95,112810.28,112541.28
43,rule1,做多,2025-08-30 01:15,108398.21,2025-08-30 01:30,108443.99,15分钟,0.042%,2.11%,0.0211,-0.7625,收盘价平仓,108725.50,108218.00,108545.46,108155.73
