entry_time,exit_time,direction,size_usdt,entry_price,exit_price,leveraged_return_pct,pnl_usdt,holding_bars,weak,trailing_activated,trailing_exit,exit_type,k1_body_pct%,k2_body_ratio
2024-12-29 20:00,2024-12-30 06:15,long,1.00,3402.5000,3363.8573,-159.00,-1.5900,41,1,1,0,stop_loss,0.2363,0.5130
2024-12-30 04:30,2024-12-30 09:15,long,1.60,3349.7100,3428.6674,330.00,5.2800,19,0,0,0,take_profit,0.3527,0.6145
2024-12-30 13:00,2024-12-30 20:45,long,1.60,3399.1900,3409.0100,40.44,0.6471,31,1,1,1,trailing_stop,0.3728,0.5981
2024-12-30 13:15,2024-12-30 21:30,short,1.00,3392.9000,3353.9300,160.80,1.6080,33,1,1,1,trailing_stop,0.2238,0.8287
2024-12-30 15:30,2024-12-30 23:15,long,1.00,3422.5700,3312.4366,-450.50,-4.5050,31,1,1,0,stop_loss,0.2789,0.8251
2024-12-31 00:00,2024-12-31 01:45,long,1.00,3329.8200,3408.3086,330.00,3.3000,7,0,0,0,take_profit,0.2293,0.7408
2024-12-31 14:15,2025-01-01 00:30,short,1.00,3356.8200,3394.9439,-159.00,-1.5900,41,1,1,0,stop_loss,0.2204,0.6947
2024-12-31 20:30,2025-01-01 06:30,short,1.60,3401.0000,3344.0700,234.35,3.7496,40,0,1,1,trailing_stop,0.3153,0.6359
2025-01-01 04:00,2025-01-01 12:15,short,1.00,3350.3500,3348.2100,8.94,0.0894,33,1,1,1,trailing_stop,0.2528,0.5934
2025-01-01 18:00,2025-01-02 05:15,short,1.00,3330.1000,3367.9204,-159.00,-1.5900,45,1,1,0,stop_loss,0.2248,0.6324
2025-01-02 18:15,2025-01-03 02:00,short,1.00,3471.1700,3452.9400,73.53,0.7353,31,1,1,1,trailing_stop,0.2581,1.3598
2025-01-02 23:00,2025-01-03 09:15,long,1.60,3485.6200,3446.0333,-159.00,-2.5440,41,1,1,0,stop_loss,0.4434,0.6176
2025-01-03 01:00,2025-01-03 15:00,long,1.60,3477.6600,3438.1637,-159.00,-2.5440,56,1,1,0,stop_loss,0.4005,0.5821
2025-01-03 08:30,2025-01-03 16:30,short,1.60,3454.1800,3434.1700,81.10,1.2976,32,1,1,1,trailing_stop,0.3425,0.7318
2025-01-03 09:30,2025-01-03 17:15,short,1.00,3452.9200,3444.5700,33.86,0.3386,31,1,1,1,trailing_stop,0.2941,0.5503
2025-01-04 16:00,2025-01-04 23:45,long,1.00,3603.6100,3607.8100,16.32,0.1632,31,1,1,1,trailing_stop,0.2611,1.0159
2025-01-04 16:15,2025-01-05 00:00,long,1.00,3595.6900,3613.8000,70.51,0.7051,31,1,1,1,trailing_stop,0.2660,0.8285
2025-01-04 20:45,2025-01-05 04:30,long,1.00,3635.5200,3661.1300,98.62,0.9862,31,1,1,1,trailing_stop,0.2197,0.9424
2025-01-04 21:15,2025-01-05 09:45,short,1.00,3638.4900,3636.7800,6.58,0.0658,50,1,1,1,trailing_stop,0.2368,0.6655
2025-01-05 08:15,2025-01-05 18:30,short,1.00,3661.3000,3616.3000,172.07,1.7207,41,0,1,1,trailing_stop,0.2849,0.5758
2025-01-05 18:00,2025-01-06 01:45,long,1.00,3613.9100,3627.8100,53.85,0.5385,31,1,1,1,trailing_stop,0.2322,0.5262
2025-01-06 11:00,2025-01-06 22:15,long,1.00,3665.9200,3624.2856,-159.00,-1.5900,45,1,1,0,stop_loss,0.2824,0.7210
