第一笔交易号,第一笔方向,第一笔入场,第一笔出场,第一笔持仓K线数,第一笔收益%,第一笔结果,第二笔交易号,第二笔方向,第二笔入场,第二笔出场,第二笔持仓K线数,第二笔收益%,第二笔结果,重叠类型,重叠开始,重叠结束,重叠时长(分钟),重叠K线数,第一笔重叠前已持仓K线数,综合收益%,第一笔合约收益%,第二笔合约收益%
3,做空,2025-01-02 18:00:00,2025-01-03 01:45:00,31,0.667,止盈,4,做多,2025-01-02 23:00:00,2025-01-03 16:30:00,70,-1.667,止损,方向冲突,2025-01-02 23:00:00,2025-01-03 01:45:00,165.0,11.0,20.0,-1.0,40.0,-100.0
4,做多,2025-01-02 23:00:00,2025-01-03 16:30:00,70,-1.667,止损,5,做多,2025-01-03 01:45:00,2025-01-03 03:15:00,6,0.667,止盈,双倍做多,2025-01-03 01:45:00,2025-01-03 03:15:00,90.0,6.0,11.0,-1.0,-100.0,40.0
30,做空,2025-01-15 04:30:00,2025-01-15 19:15:00,59,0.667,止盈,31,做空,2025-01-15 12:00:00,2025-01-15 17:45:00,23,0.667,止盈,双倍做空,2025-01-15 12:00:00,2025-01-15 17:45:00,345.0,23.0,30.0,1.334,40.0,40.0
63,做空,2025-01-22 00:15:00,2025-01-22 15:15:00,60,0.667,止盈,64,做多,2025-01-22 03:15:00,2025-01-22 08:45:00,22,0.667,止盈,方向冲突,2025-01-22 03:15:00,2025-01-22 08:45:00,330.0,22.0,12.0,1.334,40.0,40.0
223,做空,2025-03-06 11:00:00,2025-03-06 20:45:00,39,0.667,止盈,224,做多,2025-03-06 20:15:00,2025-03-06 22:00:00,7,-1.667,止损,方向冲突,2025-03-06 20:15:00,2025-03-06 20:45:00,30.0,2.0,37.0,-1.0,40.0,-100.0
275,做空,2025-03-21 01:45:00,2025-03-21 18:30:00,67,0.667,止盈,276,做多,2025-03-21 11:15:00,2025-03-21 20:45:00,38,-1.667,止损,方向冲突,2025-03-21 11:15:00,2025-03-21 18:30:00,435.0,29.0,38.0,-1.0,40.0,-100.0
282,做多,2025-03-27 23:45:00,2025-03-28 05:30:00,23,0.667,止盈,283,做空,2025-03-28 02:45:00,2025-03-28 08:15:00,22,0.667,止盈,方向冲突,2025-03-28 02:45:00,2025-03-28 05:30:00,165.0,11.0,12.0,1.334,40.0,40.0
286,做空,2025-03-29 02:00:00,2025-03-29 09:30:00,30,-1.667,止损,287,做多,2025-03-29 05:00:00,2025-03-29 06:45:00,7,0.667,止盈,方向冲突,2025-03-29 05:00:00,2025-03-29 06:45:00,105.0,7.0,12.0,-1.0,-100.0,40.0
286,做空,2025-03-29 02:00:00,2025-03-29 09:30:00,30,-1.667,止损,288,做空,2025-03-29 07:00:00,2025-03-29 13:30:00,26,0.667,止盈,双倍做空,2025-03-29 07:00:00,2025-03-29 09:30:00,150.0,10.0,20.0,-1.0,-100.0,40.0
343,做空,2025-04-11 02:30:00,2025-04-11 08:45:00,25,0.667,止盈,344,做空,2025-04-11 07:45:00,2025-04-11 08:45:00,4,0.667,止盈,双倍做空,2025-04-11 07:45:00,2025-04-11 08:45:00,60.0,4.0,21.0,1.334,40.0,40.0
