第一笔交易号,第一笔方向,第一笔入场,第一笔出场,第一笔持仓K线数,第一笔收益%,第一笔结果,第二笔交易号,第二笔方向,第二笔入场,第二笔出场,第二笔持仓K线数,第二笔收益%,第二笔结果,重叠类型,重叠开始,重叠结束,重叠时长(分钟),重叠K线数,第一笔重叠前已持仓K线数,综合收益%,第一笔合约收益%,第二笔合约收益%
10,做多,2025-01-08 06:00:00,2025-01-08 08:00:00,8,0.667,止盈,11,做多,2025-01-08 07:15:00,2025-01-08 08:15:00,4,0.667,止盈,双倍做多,2025-01-08 07:15:00,2025-01-08 08:00:00,45.0,3.0,5.0,1.334,40.0,40.0
26,做多,2025-01-14 01:00:00,2025-01-14 04:30:00,14,0.667,止盈,27,做多,2025-01-14 01:45:00,2025-01-14 04:30:00,11,0.667,止盈,双倍做多,2025-01-14 01:45:00,2025-01-14 04:30:00,165.0,11.0,3.0,1.334,40.0,40.0
44,做空,2025-01-20 00:30:00,2025-01-20 04:45:00,17,0.667,止盈,45,做空,2025-01-20 02:00:00,2025-01-20 02:15:00,1,0.667,止盈,双倍做空,2025-01-20 02:00:00,2025-01-20 02:15:00,15.0,1.0,6.0,1.334,40.0,40.0
72,做空,2025-01-24 13:15:00,2025-01-25 04:15:00,60,0.667,止盈,73,做空,2025-01-24 14:00:00,2025-01-24 15:30:00,6,0.667,止盈,双倍做空,2025-01-24 14:00:00,2025-01-24 15:30:00,90.0,6.0,3.0,1.334,40.0,40.0
84,做空,2025-01-30 21:30:00,2025-01-31 04:30:00,28,0.667,止盈,85,做空,2025-01-30 23:30:00,2025-01-31 04:30:00,20,0.667,止盈,双倍做空,2025-01-30 23:30:00,2025-01-31 04:30:00,300.0,20.0,8.0,1.334,40.0,40.0
101,做多,2025-02-03 19:15:00,2025-02-03 20:15:00,4,0.667,止盈,102,做多,2025-02-03 19:45:00,2025-02-03 20:00:00,1,0.667,止盈,双倍做多,2025-02-03 19:45:00,2025-02-03 20:00:00,15.0,1.0,2.0,1.334,40.0,40.0
103,做多,2025-02-03 21:30:00,2025-02-03 22:30:00,4,0.667,止盈,104,做多,2025-02-03 22:15:00,2025-02-03 22:30:00,1,0.667,止盈,双倍做多,2025-02-03 22:15:00,2025-02-03 22:30:00,15.0,1.0,3.0,1.334,40.0,40.0
107,做空,2025-02-04 02:30:00,2025-02-04 04:45:00,9,0.667,止盈,108,做空,2025-02-04 03:15:00,2025-02-04 04:00:00,3,0.667,止盈,双倍做空,2025-02-04 03:15:00,2025-02-04 04:00:00,45.0,3.0,3.0,1.334,40.0,40.0
129,做空,2025-02-10 06:45:00,2025-02-10 09:30:00,11,0.667,止盈,130,做空,2025-02-10 08:15:00,2025-02-10 09:15:00,4,0.667,止盈,双倍做空,2025-02-10 08:15:00,2025-02-10 09:15:00,60.0,4.0,6.0,1.334,40.0,40.0
140,做多,2025-02-15 06:45:00,2025-02-15 11:00:00,17,0.667,止盈,141,做多,2025-02-15 08:30:00,2025-02-15 10:00:00,6,0.667,止盈,双倍做多,2025-02-15 08:30:00,2025-02-15 10:00:00,90.0,6.0,7.0,1.334,40.0,40.0
166,做多,2025-02-25 08:45:00,2025-02-25 10:45:00,8,0.667,止盈,167,做多,2025-02-25 10:00:00,2025-02-25 10:30:00,2,0.667,止盈,双倍做多,2025-02-25 10:00:00,2025-02-25 10:30:00,30.0,2.0,5.0,1.334,40.0,40.0
171,做多,2025-02-26 01:45:00,2025-02-26 03:30:00,7,0.667,止盈,172,做多,2025-02-26 02:30:00,2025-02-26 03:30:00,4,0.667,止盈,双倍做多,2025-02-26 02:30:00,2025-02-26 03:30:00,60.0,4.0,3.0,1.334,40.0,40.0
200,做空,2025-03-04 04:45:00,2025-03-04 05:45:00,4,0.667,止盈,201,做空,2025-03-04 05:15:00,2025-03-04 05:45:00,2,0.667,止盈,双倍做空,2025-03-04 05:15:00,2025-03-04 05:45:00,30.0,2.0,2.0,1.334,40.0,40.0
