排名,杠杆倍数,止盈%,止损%,K1涨跌幅%,总交易数,盈利次数,亏损次数,胜率%,总盈亏,总收益率%,平均盈利%,平均亏损%,盈亏比
1,90,30,20,0.59,949,470,479,49.53,45.2000,4.76,0.333,-0.222,1.50
2,90,30,20,0.6,904,447,457,49.45,42.7000,4.72,0.333,-0.222,1.50
3,90,30,20,0.58,981,478,503,48.73,42.8000,4.36,0.333,-0.222,1.50
4,90,30,20,0.57,1023,498,525,48.68,44.4000,4.34,0.333,-0.222,1.50
5,90,30,20,0.56,1058,511,547,48.30,43.9000,4.15,0.333,-0.222,1.50
6,90,35,20,0.6,904,396,508,43.81,37.0000,4.09,0.389,-0.222,1.75
7,90,30,20,0.55,1088,523,565,48.07,43.9000,4.03,0.333,-0.222,1.50
8,90,35,20,0.59,949,414,535,43.62,37.9000,3.99,0.389,-0.222,1.75
9,90,30,20,0.54,1132,543,589,47.97,45.1000,3.98,0.333,-0.222,1.50
10,85,30,20,0.6,904,433,471,47.90,35.7000,3.95,0.353,-0.235,1.50
11,85,30,20,0.59,949,454,495,47.84,37.2000,3.92,0.353,-0.235,1.50
12,90,40,20,0.6,904,360,544,39.82,35.2000,3.89,0.444,-0.222,2.00
13,90,40,20,0.59,949,376,573,39.62,35.8000,3.77,0.444,-0.222,2.00
14,90,30,20,0.5,1294,615,679,47.53,48.7000,3.76,0.333,-0.222,1.50
15,90,30,20,0.53,1171,556,615,47.48,43.8000,3.74,0.333,-0.222,1.50
16,90,30,20,0.49,1359,642,717,47.24,49.2000,3.62,0.333,-0.222,1.50
17,90,30,20,0.52,1208,570,638,47.19,43.4000,3.59,0.333,-0.222,1.50
18,80,30,20,0.6,904,426,478,47.12,32.2000,3.56,0.375,-0.250,1.50
19,90,35,20,0.58,981,420,561,42.81,34.8000,3.55,0.389,-0.222,1.75
20,85,35,20,0.6,904,387,517,42.81,32.0500,3.55,0.412,-0.235,1.75
21,80,30,20,0.59,949,446,503,47.00,33.2000,3.50,0.375,-0.250,1.50
22,85,30,20,0.58,981,461,520,46.99,34.3000,3.50,0.353,-0.235,1.50
23,90,35,20,0.57,1023,437,586,42.72,35.7500,3.49,0.389,-0.222,1.75
24,85,35,20,0.59,949,405,544,42.68,32.9500,3.47,0.412,-0.235,1.75
