杠杆,止盈%,止损%,K1涨跌幅%,总交易数,盈利次数,亏损次数,胜率%,平均盈利%,平均亏损%,平均持仓K线数,总盈亏USDT,盈亏比,价格止盈%,价格止损%
40,40,100,0.21,1576,1369,207,86.87,40.00,-100.00,5.30,340.6000,2.65,1.0000,2.5000
40,40,100,0.23,1487,1291,196,86.82,40.00,-100.00,5.28,320.4000,2.63,1.0000,2.5000
40,40,100,0.25,1383,1197,186,86.55,40.00,-100.00,5.25,292.8000,2.57,1.0000,2.5000
40,40,100,0.27,1300,1124,176,86.46,40.00,-100.00,5.21,273.6000,2.55,1.0000,2.5000
40,40,100,0.29,1222,1056,166,86.42,40.00,-100.00,5.18,256.4000,2.54,1.0000,2.5000
40,40,100,0.31,1127,972,155,86.25,40.00,-100.00,5.12,233.8000,2.51,1.0000,2.5000
40,40,100,0.33,1058,910,148,86.01,40.00,-100.00,5.11,216.0000,2.46,1.0000,2.5000
40,40,100,0.35,990,846,144,85.45,40.00,-100.00,5.09,194.4000,2.35,1.0000,2.5000
40,40,100,0.37,923,787,136,85.27,40.00,-100.00,5.03,178.8000,2.31,1.0000,2.5000
40,40,100,0.39,865,739,126,85.43,40.00,-100.00,5.01,169.6000,2.35,1.0000,2.5000
40,40,100,0.41,813,691,122,84.99,40.00,-100.00,4.97,154.4000,2.27,1.0000,2.5000
40,40,100,0.43,765,649,116,84.84,40.00,-100.00,5.00,143.6000,2.24,1.0000,2.5000
40,40,100,0.45,712,603,109,84.69,40.00,-100.00,4.99,132.2000,2.21,1.0000,2.5000
40,40,100,0.47,669,566,103,84.60,40.00,-100.00,4.94,123.4000,2.20,1.0000,2.5000
40,40,100,0.49,625,529,96,84.64,40.00,-100.00,4.92,115.6000,2.20,1.0000,2.5000
40,45,100,0.21,1380,1169,211,84.71,45.00,-100.00,5.48,315.0500,2.49,1.1250,2.5000
40,45,100,0.23,1301,1101,200,84.63,45.00,-100.00,5.46,295.4500,2.48,1.1250,2.5000
40,45,100,0.25,1215,1025,190,84.36,45.00,-100.00,5.43,271.2500,2.43,1.1250,2.5000
40,45,100,0.27,1146,966,180,84.29,45.00,-100.00,5.38,254.7000,2.42,1.1250,2.5000
40,45,100,0.29,1084,914,170,84.32,45.00,-100.00,5.36,241.3000,2.42,1.1250,2.5000
40,45,100,0.31,1004,845,159,84.16,45.00,-100.00,5.30,221.2500,2.39,1.1250,2.5000
40,45,100,0.33,944,792,152,83.90,45.00,-100.00,5.27,204.4000,2.34,1.1250,2.5000
40,45,100,0.35,888,740,148,83.33,45.00,-100.00,5.24,185.0000,2.25,1.1250,2.5000
40,45,100,0.37,832,692,140,83.17,45.00,-100.00,5.20,171.4000,2.22,1.1250,2.5000
40,45,100,0.39,781,651,130,83.35,45.00,-100.00,5.15,162.9500,2.25,1.1250,2.5000
40,45,100,0.41,734,608,126,82.83,45.00,-100.00,5.12,147.6000,2.17,1.1250,2.5000
40,45,100,0.43,688,568,120,82.56,45.00,-100.00,5.15,135.6000,2.13,1.1250,2.5000
40,45,100,0.45,640,527,113,82.34,45.00,-100.00,5.15,124.1500,2.10,1.1250,2.5000
40,45,100,0.47,602,495,107,82.23,45.00,-100.00,5.11,115.7500,2.08,1.1250,2.5000
40,45,100,0.49,565,465,100,82.30,45.00,-100.00,5.07,109.2500,2.09,1.1250,2.5000
40,50,100,0.21,1211,995,216,82.16,50.00,-100.00,5.64,281.5000,2.30,1.2500,2.5000
40,50,100,0.23,1146,942,204,82.20,50.00,-100.00,5.60,267.0000,2.31,1.2500,2.5000
40,50,100,0.25,1068,874,194,81.84,50.00,-100.00,5.56,243.0000,2.25,1.2500,2.5000
40,50,100,0.27,1008,824,184,81.75,50.00,-100.00,5.51,228.0000,2.24,1.2500,2.5000
40,50,100,0.29,957,783,174,81.82,50.00,-100.00,5.50,217.5000,2.25,1.2500,2.5000
40,50,100,0.31,886,724,162,81.72,50.00,-100.00,5.42,200.0000,2.23,1.2500,2.5000
40,50,100,0.33,834,679,155,81.41,50.00,-100.00,5.40,184.5000,2.19,1.2500,2.5000
40,50,100,0.35,789,638,151,80.86,50.00,-100.00,5.38,168.0000,2.11,1.2500,2.5000
40,50,100,0.37,741,598,143,80.70,50.00,-100.00,5.34,156.0000,2.09,1.2500,2.5000
40,50,100,0.39,701,568,133,81.03,50.00,-100.00,5.30,151.0000,2.14,1.2500,2.5000
40,50,100,0.41,665,536,129,80.60,50.00,-100.00,5.31,139.0000,2.08,1.2500,2.5000
40,50,100,0.43,628,505,123,80.41,50.00,-100.00,5.36,129.5000,2.05,1.2500,2.5000
40,50,100,0.45,582,466,116,80.07,50.00,-100.00,5.38,117.0000,2.01,1.2500,2.5000
40,50,100,0.47,548,438,110,79.93,50.00,-100.00,5.34,109.0000,1.99,1.2500,2.5000
40,50,100,0.49,513,410,103,79.92,50.00,-100.00,5.27,102.0000,1.99,1.2500,2.5000
40,55,100,0.21,1073,851,222,79.31,55.00,-100.00,5.86,246.0500,2.11,1.3750,2.5000
40,55,100,0.23,1013,802,211,79.17,55.00,-100.00,5.83,230.1000,2.09,1.3750,2.5000
40,55,100,0.25,947,747,200,78.88,55.00,-100.00,5.79,210.8500,2.05,1.3750,2.5000
40,55,100,0.27,893,704,189,78.84,55.00,-100.00,5.73,198.2000,2.05,1.3750,2.5000
40,55,100,0.29,853,674,179,79.02,55.00,-100.00,5.70,191.7000,2.07,1.3750,2.5000
40,55,100,0.31,796,629,167,79.02,55.00,-100.00,5.65,178.9500,2.07,1.3750,2.5000
40,55,100,0.33,754,595,159,78.91,55.00,-100.00,5.62,168.2500,2.06,1.3750,2.5000
40,55,100,0.35,716,562,154,78.49,55.00,-100.00,5.60,155.1000,2.01,1.3750,2.5000
40,55,100,0.37,675,529,146,78.37,55.00,-100.00,5.56,144.9500,1.99,1.3750,2.5000
40,55,100,0.39,639,503,136,78.72,55.00,-100.00,5.52,140.6500,2.03,1.3750,2.5000
40,55,100,0.41,606,474,132,78.22,55.00,-100.00,5.54,128.7000,1.97,1.3750,2.5000
40,55,100,0.43,570,444,126,77.89,55.00,-100.00,5.59,118.2000,1.94,1.3750,2.5000
40,55,100,0.45,528,409,119,77.46,55.00,-100.00,5.64,105.9500,1.89,1.3750,2.5000
40,55,100,0.47,498,385,113,77.31,55.00,-100.00,5.59,98.7500,1.87,1.3750,2.5000
40,55,100,0.49,467,361,106,77.30,55.00,-100.00,5.49,92.5500,1.87,1.3750,2.5000
40,60,100,0.21,946,724,222,76.53,60.00,-100.00,6.01,212.4000,1.96,1.5000,2.5000
40,60,100,0.23,895,684,211,76.42,60.00,-100.00,5.97,199.4000,1.95,1.5000,2.5000
40,60,100,0.25,839,639,200,76.16,60.00,-100.00,5.94,183.4000,1.92,1.5000,2.5000
40,60,100,0.27,790,601,189,76.08,60.00,-100.00,5.87,171.6000,1.91,1.5000,2.5000
40,60,100,0.29,758,579,179,76.39,60.00,-100.00,5.85,168.4000,1.94,1.5000,2.5000
40,60,100,0.31,712,545,167,76.54,60.00,-100.00,5.81,160.0000,1.96,1.5000,2.5000
40,60,100,0.33,678,519,159,76.55,60.00,-100.00,5.79,152.4000,1.96,1.5000,2.5000
40,60,100,0.35,646,492,154,76.16,60.00,-100.00,5.77,141.2000,1.92,1.5000,2.5000
40,60,100,0.37,611,465,146,76.10,60.00,-100.00,5.73,133.0000,1.91,1.5000,2.5000
40,60,100,0.39,580,444,136,76.55,60.00,-100.00,5.69,130.4000,1.96,1.5000,2.5000
40,60,100,0.41,550,418,132,76.00,60.00,-100.00,5.71,118.8000,1.90,1.5000,2.5000
40,60,100,0.43,516,390,126,75.58,60.00,-100.00,5.76,108.0000,1.86,1.5000,2.5000
40,60,100,0.45,479,360,119,75.16,60.00,-100.00,5.77,97.0000,1.82,1.5000,2.5000
40,60,100,0.47,450,337,113,74.89,60.00,-100.00,5.71,89.2000,1.79,1.5000,2.5000
40,60,100,0.49,426,320,106,75.12,60.00,-100.00,5.65,86.0000,1.81,1.5000,2.5000
40,65,100,0.21,847,623,224,73.55,65.00,-100.00,6.13,180.9500,1.81,1.6250,2.5000
40,65,100,0.23,805,592,213,73.54,65.00,-100.00,6.12,171.8000,1.81,1.6250,2.5000
