杠杆,止盈%,止损%,K1涨跌幅%,切换K线数,切换后止盈比例,切换后止损比例,总交易数,盈利次数,亏损次数,胜率%,平均盈利%,平均亏损%,平均持仓K线数,盈亏比,总盈亏USDT,最终资金USDT,总收益率%
100,330,500,0.21,50,1.0,0.3,1533,657,876,42.86,3.30,-2.04,72.8,1.22,385.1000,1918.1000,25.12
100,330,500,0.21,35,1.0,0.3,1534,634,900,41.33,3.30,-1.90,66.5,1.23,385.2000,1919.2000,25.11
100,330,500,0.21,35,0.9,0.3,1534,662,872,43.16,3.09,-1.91,62.9,1.23,378.0300,1912.0300,24.64
100,330,500,0.21,50,0.9,0.3,1533,679,854,44.29,3.13,-2.05,69.9,1.21,375.8600,1908.8600,24.52
100,330,500,0.21,45,1.0,0.3,1533,648,885,42.27,3.30,-1.99,70.3,1.21,373.4000,1906.4000,24.36
100,330,500,0.21,40,1.0,0.3,1534,640,894,41.72,3.30,-1.95,68.2,1.21,372.0000,1906.0000,24.25
100,330,500,0.21,25,1.0,0.3,1534,608,926,39.63,3.30,-1.77,61.3,1.23,368.9000,1902.9000,24.05
100,330,500,0.21,30,1.0,0.3,1534,620,914,40.42,3.30,-1.84,63.7,1.22,367.0000,1901.0000,23.92
100,330,500,0.21,20,1.0,0.3,1534,592,942,38.59,3.30,-1.69,58.7,1.23,365.6000,1899.6000,23.83
100,330,500,0.21,40,0.9,0.3,1534,663,871,43.22,3.11,-1.96,65.1,1.21,353.7000,1887.7000,23.06
100,330,500,0.21,45,0.9,0.3,1533,669,864,43.64,3.12,-2.01,67.3,1.20,351.7700,1884.7700,22.95
100,330,500,0.21,30,0.9,0.3,1534,647,887,42.18,3.07,-1.85,60.1,1.21,349.4200,1883.4200,22.78
100,330,500,0.21,25,0.9,0.3,1534,635,899,41.40,3.06,-1.78,57.7,1.22,346.0400,1880.0400,22.56
100,330,500,0.21,20,0.9,0.3,1534,621,913,40.48,3.04,-1.69,54.9,1.22,344.7500,1878.7500,22.47
100,330,500,0.21,50,0.8,0.3,1533,699,834,45.60,2.95,-2.06,67.1,1.20,343.8200,1876.8200,22.43
100,330,500,0.21,15,1.0,0.3,1534,574,960,37.42,3.30,-1.62,56.1,1.22,342.2000,1876.2000,22.31
100,330,500,0.21,35,0.8,0.3,1534,685,849,44.65,2.86,-1.92,59.3,1.20,331.6800,1865.6800,21.62
100,330,500,0.21,50,0.6,0.3,1533,765,768,49.90,2.55,-2.11,59.5,1.20,330.6200,1863.6200,21.57
100,330,500,0.21,50,0.7,0.3,1533,727,806,47.42,2.76,-2.08,63.3,1.20,329.0600,1862.0600,21.47
100,330,500,0.21,35,0.7,0.3,1535,723,812,47.10,2.63,-1.94,55.1,1.21,325.8000,1860.8000,21.22
100,330,500,0.21,40,0.6,0.3,1535,764,771,49.77,2.45,-2.02,53.2,1.20,317.5800,1852.5800,20.69
100,330,500,0.21,15,0.9,0.3,1534,604,930,39.37,3.02,-1.62,52.3,1.21,317.2400,1851.2400,20.68
100,330,500,0.21,20,1.0,0.4,1534,667,867,43.48,3.30,-2.17,70.1,1.17,317.1000,1851.1000,20.67
100,330,500,0.21,35,0.6,0.3,1535,767,768,49.97,2.38,-1.96,50.6,1.21,317.2200,1852.2200,20.67
100,330,500,0.21,45,0.8,0.3,1533,690,843,45.01,2.93,-2.02,64.1,1.19,316.2800,1849.2800,20.63
100,330,500,0.21,40,0.8,0.3,1534,685,849,44.65,2.90,-1.97,61.6,1.19,316.0800,1850.0800,20.60
100,330,500,0.21,40,0.7,0.3,1535,721,814,46.97,2.68,-1.99,57.5,1.19,315.7800,1850.7800,20.57
100,330,500,0.21,15,1.0,0.4,1534,656,878,42.76,3.30,-2.11,68.4,1.17,312.8000,1846.8000,20.39
100,330,500,0.21,45,0.6,0.3,1533,763,770,49.77,2.50,-2.07,56.3,1.20,311.6000,1844.6000,20.33
100,330,500,0.21,45,0.7,0.3,1533,722,811,47.10,2.72,-2.04,60.3,1.19,308.8400,1841.8400,20.15
100,330,500,0.21,25,0.8,0.3,1534,662,872,43.16,2.81,-1.78,53.7,1.20,305.3600,1839.3600,19.91
100,330,500,0.21,30,1.0,0.4,1534,686,848,44.72,3.30,-2.31,74.0,1.16,303.8000,1837.8000,19.80
100,330,500,0.21,25,1.0,0.4,1534,676,858,44.07,3.30,-2.25,72.0,1.16,301.8000,1835.8000,19.67
100,330,500,0.21,10,1.0,0.3,1534,553,981,36.05,3.30,-1.55,53.9,1.20,300.9000,1834.9000,19.62
100,330,500,0.21,35,1.0,0.4,1534,693,841,45.18,3.30,-2.36,75.6,1.15,298.9000,1832.9000,19.49
100,330,500,0.21,30,0.8,0.3,1534,670,864,43.68,2.84,-1.86,56.3,1.19,297.4600,1831.4600,19.39
100,330,500,0.21,20,0.9,0.4,1534,698,836,45.50,3.03,-2.18,65.4,1.16,295.9400,1829.9400,19.29
100,330,500,0.21,10,1.0,0.4,1534,643,891,41.92,3.30,-2.05,66.9,1.16,294.9000,1828.9000,19.22
100,330,500,0.21,20,0.8,0.3,1534,647,887,42.18,2.78,-1.70,50.8,1.19,292.3400,1826.3400,19.06
100,330,500,0.21,35,0.9,0.4,1534,722,812,47.07,3.08,-2.38,71.3,1.15,291.2300,1825.2300,18.99
100,330,500,0.21,25,0.7,0.3,1535,701,834,45.67,2.55,-1.80,49.3,1.19,291.0800,1826.0800,18.96
100,330,500,0.21,30,0.9,0.4,1534,715,819,46.61,3.06,-2.32,69.6,1.15,287.8800,1821.8800,18.77
100,330,500,0.21,5,1.0,0.3,1534,542,992,35.33,3.30,-1.51,52.2,1.19,286.6000,1820.6000,18.68
100,330,500,0.21,30,0.7,0.3,1535,708,827,46.12,2.59,-1.87,52.2,1.18,285.9700,1820.9700,18.63
100,330,500,0.21,15,0.9,0.4,1534,688,846,44.85,3.01,-2.11,63.6,1.16,285.7200,1819.7200,18.63
100,330,500,0.21,50,1.0,0.4,1533,708,825,46.18,3.30,-2.49,80.2,1.14,284.4000,1817.4000,18.55
100,330,500,0.21,50,0.9,0.4,1533,732,801,47.75,3.12,-2.50,76.5,1.14,279.2700,1812.2700,18.22
100,330,500,0.21,20,0.7,0.3,1535,688,847,44.82,2.51,-1.71,46.4,1.19,278.4200,1813.4200,18.14
100,330,500,0.21,40,1.0,0.4,1533,695,838,45.34,3.30,-2.41,77.2,1.14,275.5000,1808.5000,17.97
100,330,500,0.21,50,0.5,0.3,1535,794,741,51.73,2.34,-2.13,56.3,1.17,275.7500,1810.7500,17.96
100,330,500,0.21,25,0.9,0.4,1534,704,830,45.89,3.05,-2.26,67.5,1.15,274.9700,1808.9700,17.93
100,330,500,0.21,45,1.0,0.4,1533,701,832,45.73,3.30,-2.45,78.6,1.13,274.3000,1807.3000,17.89
100,330,500,0.21,25,0.6,0.3,1535,746,789,48.60,2.29,-1.81,44.6,1.19,273.4400,1808.4400,17.81
100,330,500,0.21,40,0.5,0.3,1537,801,736,52.11,2.21,-2.04,49.9,1.18,269.1000,1806.1000,17.51
100,330,500,0.21,30,0.6,0.3,1535,749,786,48.79,2.33,-1.89,48.0,1.18,261.3400,1796.3400,17.03
100,330,500,0.21,50,0.4,0.3,1535,843,692,54.92,2.10,-2.18,53.3,1.17,261.1400,1796.1400,17.01
100,330,500,0.21,45,0.9,0.4,1533,725,808,47.29,3.11,-2.46,74.9,1.13,260.5900,1793.5900,17.00
100,330,500,0.21,40,0.9,0.4,1533,720,813,46.97,3.10,-2.42,73.4,1.13,260.4900,1793.4900,16.99
100,330,500,0.21,35,0.5,0.3,1537,806,731,52.44,2.13,-1.99,47.4,1.18,260.8500,1797.8500,16.97
100,330,500,0.21,10,0.9,0.3,1534,580,954,37.81,3.00,-1.56,50.1,1.17,257.5800,1791.5800,16.79
100,330,500,0.21,20,0.6,0.3,1535,734,801,47.82,2.22,-1.72,41.3,1.19,256.3400,1791.3400,16.70
100,330,500,0.21,10,0.9,0.4,1534,674,860,43.94,3.00,-2.05,62.1,1.14,255.2600,1789.2600,16.64
100,330,500,0.21,5,0.9,0.3,1534,574,960,37.42,2.98,-1.51,48.1,1.18,255.0700,1789.0700,16.63
100,330,500,0.21,15,0.8,0.3,1535,630,905,41.04,2.74,-1.62,48.1,1.17,254.4200,1789.4200,16.57
100,330,500,0.21,45,0.5,0.3,1535,794,741,51.73,2.27,-2.09,53.0,1.16,252.8000,1787.8000,16.47
100,330,500,0.21,20,0.8,0.4,1534,728,806,47.46,2.76,-2.19,60.2,1.14,249.6800,1783.6800,16.28
100,330,500,0.21,15,0.6,0.3,1536,731,805,47.59,2.15,-1.64,38.2,1.19,249.3200,1785.3200,16.23
100,330,500,0.21,10,1.0,0.5,1533,710,823,46.31,3.30,-2.55,78.8,1.12,248.0000,1781.0000,16.18
100,330,500,0.21,35,0.8,0.4,1534,747,787,48.70,2.85,-2.39,66.8,1.13,245.8600,1779.8600,16.03
100,330,500,0.21,50,0.8,0.4,1533,753,780,49.12,2.93,-2.52,72.9,1.12,244.3800,1777.3800,15.94
100,330,500,0.21,30,0.8,0.4,1534,742,792,48.37,2.82,-2.33,64.8,1.13,243.5400,1777.5400,15.88
100,330,500,0.21,5,1.0,0.4,1534,627,907,40.87,3.30,-2.01,65.2,1.13,243.1000,1777.1000,15.85
100,330,500,0.21,15,0.7,0.3,1536,674,862,43.88,2.45,-1.63,43.7,1.17,243.0200,1779.0200,15.82
100,330,500,0.21,25,0.8,0.4,1534,734,800,47.85,2.80,-2.27,62.4,1.13,238.9400,1772.9400,15.58
100,330,500,0.21,35,0.7,0.4,1535,784,751,51.07,2.60,-2.41,61.9,1.13,233.7100,1768.7100,15.23
100,330,500,0.21,30,0.7,0.4,1535,781,754,50.88,2.56,-2.35,59.6,1.13,231.1000,1766.1000,15.06
100,330,500,0.21,15,0.8,0.4,1535,718,817,46.78,2.72,-2.12,58.3,1.13,226.2400,1761.2400,14.74
100,330,500,0.21,25,0.5,0.3,1537,792,745,51.53,2.01,-1.83,40.8,1.17,226.2500,1763.2500,14.72
100,330,500,0.21,5,1.0,0.6,1533,767,766,50.03,3.30,-3.01,91.0,1.10,225.1000,1758.1000,14.68
100,330,500,0.21,20,0.7,0.4,1535,768,767,50.03,2.49,-2.20,54.8,1.13,224.7200,1759.7200,14.64
100,330,500,0.21,40,0.8,0.4,1533,744,789,48.53,2.88,-2.43,69.0,1.12,224.3400,1757.3400,14.63
