杠杆倍数,止盈百分比,止损百分比,价格止盈%,价格止损%,总交易数,胜率%,盈利次数,亏损次数,平均盈利%,平均亏损%,盈亏比,平均持仓K线数,总盈亏USDT,最终资金USDT,总收益率%
100,100,300,1.000,3.000,1441,78.42,1130,311,1.000,-3.000,1.21,22.4,197.0000,1638.0000,13.67
100,100,310,1.000,3.100,1434,78.80,1130,304,1.000,-3.100,1.20,22.6,187.6000,1621.6000,13.08
100,100,320,1.000,3.200,1429,79.29,1133,296,1.000,-3.200,1.20,22.8,185.8000,1614.8000,13.00
100,100,330,1.000,3.300,1422,79.82,1135,287,1.000,-3.300,1.20,22.9,187.9000,1609.9000,13.21
100,100,340,1.000,3.400,1418,80.39,1140,278,1.000,-3.400,1.21,23.4,194.8000,1612.8000,13.74
100,100,350,1.000,3.500,1410,81.13,1144,266,1.000,-3.500,1.23,23.4,213.0000,1623.0000,15.11
100,100,360,1.000,3.600,1403,81.61,1145,258,1.000,-3.600,1.23,23.6,216.2000,1619.2000,15.41
100,100,370,1.000,3.700,1397,82.25,1149,248,1.000,-3.700,1.25,23.7,231.4000,1628.4000,16.56
100,100,380,1.000,3.800,1389,83.15,1155,234,1.000,-3.800,1.30,23.8,265.8000,1654.8000,19.14
100,100,390,1.000,3.900,1378,83.82,1155,223,1.000,-3.900,1.33,23.5,285.3000,1663.3000,20.70
100,100,400,1.000,4.000,1369,84.37,1155,214,1.000,-4.000,1.35,23.5,299.0000,1668.0000,21.84
100,100,410,1.000,4.100,1364,84.75,1156,208,1.000,-4.100,1.36,23.5,303.2000,1667.2000,22.23
100,100,420,1.000,4.200,1359,85.14,1157,202,1.000,-4.200,1.36,23.6,308.6000,1667.6000,22.71
100,100,430,1.000,4.300,1353,85.66,1159,194,1.000,-4.300,1.39,23.7,324.8000,1677.8000,24.01
100,100,440,1.000,4.400,1346,86.26,1161,185,1.000,-4.400,1.43,23.7,347.0000,1693.0000,25.78
100,100,450,1.000,4.500,1343,86.52,1162,181,1.000,-4.500,1.43,23.8,347.5000,1690.5000,25.87
100,100,460,1.000,4.600,1334,87.11,1162,172,1.000,-4.600,1.47,23.7,370.8000,1704.8000,27.80
100,100,470,1.000,4.700,1330,87.37,1162,168,1.000,-4.700,1.47,23.6,372.4000,1702.4000,28.00
100,100,480,1.000,4.800,1330,87.37,1162,168,1.000,-4.800,1.44,23.7,355.6000,1685.6000,26.74
100,100,490,1.000,4.900,1327,87.57,1162,165,1.000,-4.900,1.44,23.7,353.5000,1680.5000,26.64
100,100,500,1.000,5.000,1319,88.10,1162,157,1.000,-5.000,1.48,23.5,377.0000,1696.0000,28.58
100,110,300,1.100,3.000,1421,76.43,1086,335,1.100,-3.000,1.19,23.9,189.6000,1610.6000,13.34
100,110,310,1.100,3.100,1413,76.93,1087,326,1.100,-3.100,1.18,24.1,185.1000,1598.1000,13.10
100,110,320,1.100,3.200,1408,77.41,1090,318,1.100,-3.200,1.18,24.3,181.4000,1589.4000,12.88
