entry_idx,entry_price,direction,size_u,holding_bars,exit_idx,exit_price,exit_reason,pnl,trail_active,trail_pct,weak_flag
104,3349.71,long,1.0,19,123,3428.67,TP,3.30,False,0.0,False
138,3399.19,long,1.0,41,179,3360.58,SL_over40,-1.59,True,0.06,True
148,3422.57,long,1.0,41,189,3383.70,SL_over40,-1.59,True,0.06,True
466,3485.62,long,1.0,41,507,3446.03,SL_over40,-1.59,True,0.06,True
474,3477.66,long,1.0,56,530,3438.16,SL_over40,-1.59,True,0.06,True
504,3454.18,short,1.0,51,555,3493.41,SL_over40,-1.59,True,0.06,True
447,3471.17,short,2.0,112,559,3510.59,SL_over40,-3.18,True,0.06,True
631,3595.69,long,1.0,64,695,3671.97,TP_over40,2.97,True,0.06,True
630,3603.61,long,1.0,168,798,3680.06,TP_over40,2.97,True,0.06,True
971,3400.55,short,1.0,37,1008,3320.39,TP,3.30,False,0.0,False
974,3378.75,long,4.0,54,1028,3340.38,SL_over40,-6.36,True,0.06,True
1029,3349.79,short,1.0,21,1050,3270.83,TP,3.30,False,0.0,False
1024,3357.85,short,4.0,26,1050,3278.70,TP,13.20,False,0.0,False
1046,3336.62,long,2.0,6,1052,3210.31,SL,-10.60,False,0.0,False
1063,3281.53,long,2.0,70,1133,3244.26,SL_over40,-3.18,True,0.08,False
1134,3241.40,long,4.0,7,1141,3317.80,TP,13.20,False,0.0,False
1175,3219.60,long,1.0,29,1204,3295.49,TP,3.30,False,0.0,False
1184,3243.93,short,4.0,41,1225,3280.77,SL_over40,-6.36,True,0.06,True
1235,3230.73,long,4.0,10,1245,3306.88,TP,13.20,False,0.0,False
1216,3307.35,long,1.0,41,1257,3269.79,SL_over40,-1.59,True,0.06,True
1247,3294.08,long,1.0,41,1288,3256.67,SL_over40,-1.59,True,0.06,True
1237,3245.14,short,4.0,93,1330,3282.00,SL_over40,-6.36,True,0.06,True
1241,3247.48,short,1.0,110,1351,3284.36,SL_over40,-1.59,True,0.06,True
1456,3244.99,short,1.0,39,1495,3168.50,TP,3.30,False,0.0,False
1473,3255.96,long,4.0,27,1500,3132.70,SL,-21.20,False,0.0,False
1533,3020.79,long,4.0,12,1545,3091.99,TP,13.20,False,0.0,False
1538,3015.72,short,1.0,12,1550,3129.89,SL,-5.30,False,0.0,False
1531,3026.02,short,1.0,20,1551,3140.58,SL,-5.30,False,0.0,False
1521,3034.41,short,4.0,41,1562,3068.87,SL_over40,-6.36,True,0.06,True
1625,3191.13,short,1.0,44,1669,3227.37,SL_over40,-1.59,True,0.06,True
1640,3215.08,short,4.0,68,1708,3251.59,SL_over40,-6.36,True,0.06,True
1620,3213.13,long,2.0,88,1708,3281.29,TP_over40,5.94,True,0.06,True
1618,3210.78,long,4.0,90,1708,3278.89,TP_over40,11.88,True,0.06,True
1670,3228.97,short,4.0,41,1711,3265.64,SL_over40,-6.36,True,0.06,True
