时段,交易数,胜利,失败,胜率%,败率%,平均盈利(USDT),平均亏损(USDT),平均下注(USDT),数学期望,期望盈利/笔(USDT),累计盈亏(USDT)
00:00,47,38,9,80.85,19.15,6.8015,5.9590,2.1617,2.0160,4.3580,204.8253
01:00,57,47,10,82.46,17.54,7.5142,7.9527,2.4000,2.0003,4.8007,273.6395
02:00,38,22,16,57.89,42.11,5.8350,7.1338,1.8842,0.1987,0.3745,14.2292
03:00,47,36,11,76.60,23.40,7.0913,6.2757,2.2638,1.7505,3.9629,186.2555
04:00,49,36,13,73.47,26.53,6.1435,4.6803,1.8449,1.7735,3.2719,160.3220
05:00,42,22,20,52.38,47.62,6.9390,6.9793,2.1571,0.1443,0.3112,13.0719
06:00,45,29,16,64.44,35.56,7.0256,5.8572,2.4533,0.9966,2.4451,110.0274
07:00,39,32,7,82.05,17.95,6.7753,4.5686,2.0615,2.2989,4.7392,184.8298
08:00,52,34,18,65.38,34.62,5.6119,4.0760,1.7962,1.2574,2.2584,117.4381
09:00,28,14,14,50.00,50.00,6.3454,7.1213,2.1786,-0.1781,-0.3879,-10.8623
10:00,51,27,24,52.94,47.06,6.2260,5.0600,1.9176,0.4771,0.9150,46.6631
11:00,35,20,15,57.14,42.86,4.7124,4.4824,1.4800,0.5215,0.7718,27.0122
12:00,28,20,8,71.43,28.57,6.4119,7.1113,2.0286,1.2561,2.5481,71.3478
13:00,32,22,10,68.75,31.25,5.1660,6.4459,1.7875,0.8600,1.5373,49.1934
14:00,31,19,12,61.29,38.71,4.9083,5.3989,1.7355,0.5292,0.9184,28.4708
15:00,23,13,10,56.52,43.48,6.7726,5.4081,2.0174,0.7320,1.4766,33.9628
16:00,45,28,17,62.22,37.78,5.1197,7.1375,1.8533,0.2640,0.4892,22.0138
17:00,33,24,9,72.73,27.27,6.6742,5.0580,1.9273,1.8028,3.4746,114.6603
18:00,36,23,13,63.89,36.11,4.5770,5.7481,1.5167,0.5594,0.8485,30.5453
19:00,32,21,11,65.62,34.38,5.6194,5.4609,1.6750,1.0809,1.8106,57.9378
20:00,32,21,11,65.62,34.38,5.7609,8.6188,1.9188,0.4262,0.8179,26.1716
21:00,43,29,14,67.44,32.56,7.5126,5.5082,2.2977,1.4246,3.2733,140.7510
22:00,62,40,22,64.52,35.48,8.6295,6.7724,2.5097,1.2608,3.1643,196.1864
23:00,53,36,17,67.92,32.08,7.0968,6.9645,2.2906,1.1292,2.5866,137.0893
