时段,交易数,胜利,失败,胜率%,败率%,平均盈利(USDT),扣费后盈利(USDT),平均亏损(USDT),平均下注(USDT),手续费(USDT),数学期望,期望盈利/笔(USDT),累计盈亏(USDT)
00:00,18,14,4,77.78,22.22,6.6707,6.4551,3.5815,2.2000,0.2156,1.9203,4.2248,79.0641
01:00,20,17,3,85.00,15.00,9.0304,8.7530,5.0792,2.8300,0.2773,2.3598,6.6782,138.2785
02:00,18,11,7,61.11,38.89,6.3180,6.1057,11.2723,2.1667,0.2123,-0.3011,-0.6524,-9.4084
03:00,15,10,5,66.67,33.33,8.0520,7.8286,4.3778,2.2800,0.2234,1.6490,3.7598,58.6310
04:00,14,11,3,78.57,21.43,5.7660,5.5798,8.2380,1.9000,0.1862,1.3783,2.6188,38.7121
05:00,10,9,1,90.00,10.00,8.0667,7.8393,5.3000,2.3200,0.2274,2.8127,6.5254,67.3000
06:00,23,17,6,73.91,26.09,8.5761,8.2992,8.9243,2.8261,0.2770,1.3468,3.8061,92.2481
07:00,15,12,3,80.00,20.00,7.5570,7.3257,8.3175,2.3600,0.2313,1.7784,4.1971,65.7316
08:00,16,12,4,75.00,25.00,5.5550,5.3725,3.7577,1.8625,0.1825,1.6590,3.0899,51.6292
09:00,9,5,4,55.56,44.44,5.4648,5.2557,8.3144,2.1333,0.2091,-0.3635,-0.7754,-5.9335
10:00,17,9,8,52.94,47.06,7.2013,6.9996,5.0277,2.0588,0.2018,0.6507,1.3397,24.5903
11:00,10,5,5,50.00,50.00,3.8544,3.7035,6.6547,1.5400,0.1509,-0.9582,-1.4756,-14.0014
12:00,13,8,5,61.54,38.46,6.7815,6.5795,6.4353,2.0615,0.2020,0.7634,1.5738,22.0757
13:00,13,5,8,38.46,61.54,7.8804,7.6648,5.2384,2.2000,0.2156,-0.1253,-0.2756,-2.5051
14:00,10,6,4,60.00,40.00,5.4120,5.2023,7.7327,2.1400,0.2097,0.0132,0.0283,1.5412
15:00,7,3,4,42.86,57.14,6.4900,6.2912,5.9241,2.0286,0.1988,-0.3396,-0.6890,-4.2263
16:00,10,4,6,40.00,60.00,6.2700,6.0368,10.1256,2.3800,0.2332,-1.5381,-3.6607,-35.6739
17:00,7,3,4,42.86,57.14,4.3340,4.2108,2.5413,1.2571,0.1232,0.2803,0.3524,2.8366
18:00,11,8,3,72.73,27.27,5.0903,4.9441,1.6218,1.4909,0.1461,2.1151,3.1534,35.8566
19:00,11,7,4,63.64,36.36,6.3360,6.1632,4.3235,1.7636,0.1728,1.3324,2.3498,27.0581
20:00,12,4,8,33.33,66.67,6.6825,6.4571,9.9296,2.3000,0.2254,-1.9423,-4.4673,-52.7064
21:00,12,9,3,75.00,25.00,11.1467,10.8380,2.9733,3.1500,0.3087,2.3445,7.3852,91.4001
22:00,19,11,8,57.89,42.11,8.6100,8.3449,9.3068,2.7053,0.2651,0.3373,0.9126,20.2556
23:00,17,12,5,70.59,29.41,7.5075,7.2746,9.0312,2.3765,0.2329,1.0431,2.4788,44.9340
