交易编号,方向,结果,K1柱体,突破力度比,K1开盘,K1最高,K1最低,K1收盘,K2开盘,K2最高,K2最低,K2收盘
1481,做多,止盈,30.789999999999964,1.299772653458931,4418.82,4449.98,4418.82,4449.61,4449.62,4490.0,4406.46,4433.18
862,做多,止盈,17.559999999999945,1.2477220956719774,2696.05,2716.59,2687.58,2713.61,2713.61,2738.5,2671.62,2690.94
1356,做多,止损,25.090000000000146,1.2184137106416713,4639.01,4642.1,4609.04,4613.92,4613.92,4672.67,4592.42,4629.89
813,做多,止盈,57.49000000000024,0.8347538702382951,2370.12,2442.78,2369.1,2427.61,2427.62,2490.77,2366.36,2378.55
844,做多,止损,25.23999999999978,0.7923930269413698,2573.5,2604.0,2557.99,2598.74,2598.73,2624.0,2556.66,2572.42
544,做多,止损,14.809999999999945,0.7521944632005344,1893.19,1911.95,1893.19,1908.0,1908.01,1923.09,1891.39,1900.6
612,做多,止损,22.3599999999999,0.5496422182468702,1911.45,1944.71,1882.27,1933.81,1933.74,1957.0,1876.21,1898.68
432,做多,止损,11.709999999999582,0.5192143467122241,2160.72,2161.1,2142.7,2149.01,2149.02,2167.18,2140.1,2154.71
514,做多,止盈,16.519999999999982,0.39648910411622046,1871.25,1875.42,1851.38,1854.73,1854.73,1881.97,1843.23,1869.18
1168,做多,止盈,19.240000000000236,0.28326403326402033,3406.8,3407.17,3380.0,3387.56,3387.6,3412.62,3364.43,3397.51
1647,做多,止盈,22.5300000000002,0.24500665778961087,3747.73,3780.9,3746.84,3770.26,3770.26,3786.42,3744.79,3770.85
1153,做多,止盈,17.86999999999989,0.22383883603805396,2977.42,2996.75,2975.0,2995.29,2995.3,3000.75,2970.71,2976.7
123,做多,止损,23.269999999999982,0.21357971637300402,3283.92,3307.25,3281.92,3307.19,3307.19,3312.22,3281.6,3287.06
1025,做多,止盈,12.579999999999927,0.20031796502384708,2732.96,2746.27,2732.81,2745.54,2745.55,2748.79,2728.75,2743.23
1154,做多,止盈,17.039999999999964,0.19424882629107704,3043.63,3063.52,3043.17,3060.67,3060.61,3066.83,3043.11,3048.21
684,做多,止损,8.159999999999854,0.1875,1593.31,1594.96,1585.13,1585.15,1585.16,1596.49,1582.15,1588.96
218,做多,止盈,22.920000000000073,0.16535776614310435,2700.5,2708.86,2664.4,2677.58,2677.5,2712.65,2664.24,2691.07
314,做多,止盈,15.990000000000236,0.15009380863036903,2728.59,2728.59,2707.33,2712.6,2712.6,2730.99,2707.18,2723.02
1045,做多,止盈,20.490000000000236,0.1473889702293776,2529.44,2530.0,2505.63,2508.95,2508.96,2533.02,2502.9,2529.32
1412,做多,止盈,21.18000000000029,0.13739376770537368,4727.99,4754.85,4724.45,4749.17,4749.18,4757.76,4717.0,4726.98
354,做多,止盈,11.0,0.13636363636363635,2390.02,2393.9,2365.0,2379.02,2379.02,2395.4,2361.89,2374.8
503,做多,止盈,13.470000000000027,0.1291759465478846,2023.52,2025.0,2006.76,2010.05,2010.05,2026.74,1989.66,2018.29
1263,做多,止盈,17.90000000000009,0.12402234636872868,3763.24,3785.49,3763.24,3781.14,3781.14,3787.71,3759.49,3763.62
1645,做多,止盈,16.84999999999991,0.12344213649853966,3775.44,3787.68,3758.58,3758.59,3758.58,3789.76,3757.82,3778.5
