突破力度区间,交易数,止盈,止损,胜率%
<-2.00,4,4,0,100.0
-2.00至-1.50,10,6,4,60.0
-1.50至-1.00,153,115,38,75.16
-1.00至-0.90,132,95,37,71.97
-0.90至-0.80,191,132,59,69.11
-0.80至-0.70,203,154,49,75.86
-0.70至-0.60,208,143,65,68.75
-0.60至-0.50,162,114,48,70.37
-0.50至-0.40,119,89,30,74.79
-0.40至-0.30,110,92,18,83.64
-0.30至-0.20,73,50,23,68.49
-0.20至-0.10,64,48,16,75.0
-0.10至0.00,53,38,15,71.7
0.00-0.10,17,14,3,82.35
0.10-0.20,13,12,1,92.31
0.20-0.30,5,4,1,80.0
0.30-0.40,1,1,0,100.0
0.50-0.60,2,0,2,0.0
0.70-0.80,2,0,2,0.0
0.80-0.90,1,1,0,100.0
1.00-1.50,3,2,1,66.67
