leverage,profit_target_percent,min_k1_range_percent,total_trades,wins,losses,win_rate,loss_rate,total_pnl,return_rate
30,90,0.34,90,61,29,67.77777777777779,32.22222222222222,25.899999999999967,28.77777777777774
30,100,0.34,75,47,28,62.66666666666667,37.333333333333336,19.0,25.333333333333336
30,90,0.37,87,57,30,65.51724137931035,34.48275862068966,21.299999999999972,24.482758620689623
30,90,0.41000000000000003,78,51,27,65.38461538461539,34.61538461538461,18.89999999999998,24.230769230769205
30,90,0.38,83,54,29,65.06024096385542,34.93975903614458,19.599999999999977,23.61445783132527
30,90,0.35000000000000003,91,59,32,64.83516483516483,35.16483516483517,21.09999999999997,23.186813186813154
30,90,0.39,82,53,29,64.63414634146342,35.36585365853659,18.69999999999998,22.804878048780466
30,90,0.33,89,57,32,64.04494382022472,35.95505617977528,19.29999999999999,21.685393258426956
50,100,0.49,104,63,41,60.57692307692307,39.42307692307692,22.0,21.153846153846153
30,90,0.36,91,58,33,63.73626373626373,36.26373626373626,19.199999999999974,21.09890109890107
30,90,0.42,77,49,28,63.63636363636363,36.36363636363637,16.099999999999998,20.909090909090907
30,100,0.36,75,45,30,60.0,40.0,15.0,20.0
60,100,0.3,179,107,72,59.77653631284916,40.22346368715084,35.0,19.553072625698324
60,100,0.34,174,104,70,59.77011494252874,40.229885057471265,34.0,19.54022988505747
30,80,0.41000000000000003,86,57,29,66.27906976744185,33.72093023255814,16.600000000000023,19.302325581395372
50,100,0.5,99,59,40,59.59595959595959,40.4040404040404,19.0,19.19191919191919
30,100,0.35000000000000003,74,44,30,59.45945945945946,40.54054054054054,14.0,18.91891891891892
40,100,0.37,111,66,45,59.45945945945946,40.54054054054054,21.0,18.91891891891892
30,80,0.33,97,64,33,65.97938144329896,34.02061855670103,18.200000000000017,18.76288659793816
30,90,0.4,80,50,30,62.5,37.5,15.000000000000005,18.750000000000007
30,80,0.35000000000000003,94,62,32,65.95744680851064,34.04255319148936,17.600000000000016,18.723404255319164
30,80,0.37,91,60,31,65.93406593406593,34.065934065934066,17.000000000000018,18.6813186813187
30,60,0.49,89,66,23,74.15730337078652,25.842696629213485,16.599999999999987,18.651685393258415
70,100,0.26,218,129,89,59.174311926605505,40.825688073394495,40.0,18.34862385321101
30,100,0.38,71,42,29,59.154929577464785,40.845070422535215,13.0,18.30985915492958
30,90,0.32,90,56,34,62.22222222222222,37.77777777777778,16.40000000000001,18.222222222222232
70,100,0.31,198,117,81,59.09090909090909,40.909090909090914,36.0,18.181818181818183
30,80,0.34,96,63,33,65.625,34.375,17.400000000000016,18.125000000000018
30,80,0.36,96,63,33,65.625,34.375,17.400000000000016,18.125000000000018
50,100,0.29,166,98,68,59.036144578313255,40.963855421686745,30.0,18.072289156626507
60,100,0.35000000000000003,166,98,68,59.036144578313255,40.963855421686745,30.0,18.072289156626507
50,100,0.34,161,95,66,59.006211180124225,40.993788819875775,29.0,18.012422360248447
30,60,0.35000000000000003,114,84,30,73.68421052631578,26.31578947368421,20.400000000000016,17.894736842105278
30,100,0.37,73,43,30,58.9041095890411,41.0958904109589,13.0,17.80821917808219
70,100,0.27,214,126,88,58.87850467289719,41.1214953271028,38.0,17.75700934579439
70,100,0.3,198,116,82,58.58585858585859,41.41414141414141,34.0,17.17171717171717
50,100,0.3,164,96,68,58.536585365853654,41.46341463414634,28.0,17.073170731707318
40,90,0.37,117,72,45,61.53846153846154,38.46153846153847,19.79999999999999,16.923076923076916
30,80,0.5,71,46,25,64.7887323943662,35.2112676056338,11.800000000000011,16.61971830985917
50,100,0.35000000000000003,151,88,63,58.27814569536424,41.72185430463576,25.0,16.55629139072848
50,90,0.49,106,65,41,61.32075471698113,38.67924528301887,17.500000000000014,16.509433962264165
40,80,0.49,102,66,36,64.70588235294117,35.294117647058826,16.80000000000002,16.470588235294137
30,80,0.32,96,62,34,64.58333333333334,35.41666666666667,15.600000000000016,16.250000000000018
30,60,0.34,117,85,32,72.64957264957265,27.350427350427353,19.000000000000018,16.239316239316253
30,60,0.5,84,61,23,72.61904761904762,27.380952380952383,13.599999999999989,16.190476190476176
50,100,0.28,167,97,70,58.08383233532935,41.91616766467065,27.0,16.16766467065868
40,100,0.35000000000000003,112,65,47,58.03571428571429,41.964285714285715,18.0,16.071428571428573
30,100,0.39,69,40,29,57.971014492753625,42.028985507246375,11.0,15.942028985507244
30,80,0.49,73,47,26,64.38356164383562,35.61643835616438,11.600000000000012,15.890410958904125
60,100,0.29,183,106,77,57.92349726775956,42.07650273224044,29.0,15.846994535519126
40,100,0.36,114,66,48,57.89473684210527,42.10526315789473,18.0,15.789473684210526
60,100,0.31,178,103,75,57.865168539325836,42.13483146067416,28.0,15.730337078651685
