交易编号,方向,策略类型,入场时间,入场价格,出场时间,出场价格,持仓K线数,持仓分钟数,价格变动%,合约收益%,盈亏USDT
7,做多,rule1,2025-02-25 02:00:00,94667.99,2025-02-25 06:45:00,92774.63,19,285,-2.0,-100.0,-1.0
8,做多,rule1,2025-02-25 03:45:00,93943.51,2025-02-25 07:15:00,92064.64,14,210,-2.0,-100.0,-1.0
9,做多,rule1,2025-02-25 06:15:00,93507.72,2025-02-25 07:30:00,91637.57,5,75,-2.0,-100.0,-1.0
13,做多,rule1,2025-02-25 15:30:00,89094.01,2025-02-25 18:15:00,87312.13,11,165,-2.0,-100.0,-1.0
16,做空,rule1,2025-02-26 02:45:00,87070.07,2025-02-26 04:15:00,88811.47,6,90,-2.0,-100.0,-1.0
20,做多,rule1,2025-02-27 00:15:00,86860.0,2025-02-27 02:30:00,85122.8,9,135,-2.0,-100.0,-1.0
21,做多,rule1,2025-02-27 01:00:00,87215.08,2025-02-27 02:15:00,85470.78,5,75,-2.0,-100.0,-1.0
23,做空,rule1,2025-02-27 11:15:00,84744.88,2025-02-27 14:30:00,86439.78,13,195,-2.0,-100.0,-1.0
25,做多,rule2,2025-02-27 22:15:00,86317.99,2025-02-28 00:45:00,84591.63,10,150,-2.0,-100.0,-1.0
27,做多,rule1,2025-02-28 00:30:00,84943.39,2025-02-28 04:00:00,83244.52,14,210,-2.0,-100.0,-1.0
29,做多,rule1,2025-02-28 10:00:00,82448.02,2025-02-28 10:30:00,80799.06,2,30,-2.0,-100.0,-1.0
30,做多,rule1,2025-02-28 10:45:00,80805.5,2025-02-28 13:45:00,79189.39,12,180,-2.0,-100.0,-1.0
45,做空,rule1,2025-03-03 00:45:00,91200.0,2025-03-03 01:30:00,93024.0,3,45,-2.0,-100.0,-1.0
48,做多,rule1,2025-03-03 08:15:00,93843.86,2025-03-03 14:45:00,91966.98,26,390,-2.0,-100.0,-1.0
53,做多,rule1,2025-03-04 01:45:00,90300.01,2025-03-04 02:15:00,88494.01,2,30,-2.0,-100.0,-1.0
54,做多,rule1,2025-03-04 02:45:00,87132.8,2025-03-04 04:00:00,85390.14,5,75,-2.0,-100.0,-1.0
57,做多,rule1,2025-03-04 08:45:00,86046.43,2025-03-04 09:30:00,84325.5,3,45,-2.0,-100.0,-1.0
65,做空,rule1,2025-03-04 23:30:00,82832.91,2025-03-05 01:15:00,84489.57,7,105,-2.0,-100.0,-1.0
72,做多,rule1,2025-03-05 21:15:00,89785.13,2025-03-05 23:15:00,87989.43,8,120,-2.0,-100.0,-1.0
76,做空,rule1,2025-03-06 01:00:00,89130.01,2025-03-06 07:45:00,90912.61,27,405,-2.0,-100.0,-1.0
85,做空,rule1,2025-03-07 04:15:00,89019.12,2025-03-07 08:00:00,90799.5,15,225,-2.0,-100.0,-1.0
109,做多,rule1,2025-03-11 00:30:00,79345.99,2025-03-11 02:45:00,77759.07,9,135,-2.0,-100.0,-1.0
115,做空,rule1,2025-03-11 09:00:00,77116.54,2025-03-11 09:30:00,78658.87,2,30,-2.0,-100.0,-1.0
