trade_id,strategy,contain,direction,entry_time,entry_price,exit_time,exit_price,bars_held,price_change_%,contract_return_%,pnl_usdt,cum_pnl_usdt,trailing_activated,weak,highest,lowest,trail_price_at_exit,k1_open,k1_high,k1_low,k1_close,k2_open,k2_high,k2_low,k2_close
1,rule1,否,做多,2024-12-29 12:14,3402.50,2024-12-29 22:44,3369.65,41,-0.965,-135.15,-1.3515,-1.3515,是,是,3410.92,3326.41,,3406.41,3407.92,3397.84,3398.36,3398.37,3403.38,3395.00,3402.50
2,rule1,否,做多,2024-12-29 20:44,3349.71,2024-12-30 01:29,3428.67,18,2.357,330.00,5.2800,3.9285,否,否,3430.87,3326.17,,3354.28,3354.28,3335.75,3342.45,3342.44,3351.52,3335.00,3349.71
4,rule1,否,做空,2024-12-30 05:29,3392.90,2024-12-30 14:44,3312.92,36,2.357,330.00,3.3000,7.2285,否,否,3434.35,3310.00,,3391.60,3402.00,3388.60,3399.19,3399.19,3403.62,3391.03,3392.90
3,rule1,否,做多,2024-12-30 05:14,3399.19,2024-12-30 15:44,3366.38,41,-0.965,-135.15,-2.1624,5.0661,是,是,3434.35,3305.00,,3404.29,3406.64,3391.20,3391.60,3391.60,3402.00,3388.60,3399.19
5,rule1,否,做多,2024-12-30 07:44,3422.57,2024-12-30 15:44,3312.44,31,-3.218,-450.50,-4.5050,0.5611,是,是,3434.35,3305.00,,3424.23,3427.08,3412.81,3414.68,3414.69,3424.63,3409.44,3422.57
6,rule1,否,做多,2024-12-30 16:14,3329.82,2024-12-30 17:59,3408.31,6,2.357,330.00,3.3000,3.8611,否,否,3408.56,3325.72,,3331.80,3343.98,3321.72,3324.16,3324.16,3334.00,3317.50,3329.82
7,rule1,否,做空,2024-12-31 06:29,3356.82,2024-12-31 16:59,3389.23,41,-0.965,-135.15,-1.3515,2.5096,是,是,3451.00,3345.83,,3344.33,3359.23,3339.85,3351.70,3351.70,3363.42,3349.61,3356.82
8,rule1,否,做空,2024-12-31 12:44,3401.00,2024-12-31 23:14,3328.85,41,2.121,297.00,4.7520,7.2616,是,否,3451.00,3328.47,,3397.10,3410.00,3397.10,3407.81,3407.81,3414.01,3399.77,3401.00
10,rule1,否,做空,2025-01-01 10:14,3330.10,2025-01-01 20:59,3362.25,42,-0.965,-135.15,-1.3515,5.9101,是,是,3364.14,3323.03,,3327.16,3335.00,3324.22,3334.64,3334.83,3338.82,3328.55,3330.10
9,rule1,否,做空,2024-12-31 20:14,3350.35,2025-01-02 00:29,3382.69,112,-0.965,-135.15,-1.3515,4.5586,是,是,3394.98,3313.88,,3346.92,3358.84,3346.71,3355.38,3355.37,3364.64,3347.55,3350.35
11,rule1,否,做多,2025-01-02 03:14,3389.18,2025-01-02 09:59,3469.07,26,2.357,330.00,5.2800,9.8386,否,否,3470.00,3387.32,,3388.05,3398.50,3388.05,3398.49,3398.49,3401.99,3387.23,3389.18
13,rule1,否,做多,2025-01-02 15:14,3485.62,2025-01-03 01:44,3451.97,41,-0.965,-135.15,-2.1624,7.6762,是,是,3491.19,3421.79,,3479.76,3498.00,3478.50,3495.19,3495.15,3496.26,3478.36,3485.62
14,rule1,否,做多,2025-01-02 17:14,3477.66,2025-01-03 06:59,3444.09,54,-0.965,-135.15,-2.1624,5.5138,是,是,3478.95,3421.79,,3483.49,3483.62,3468.18,3469.54,3469.54,3478.80,3466.50,3477.66
