trade_id,strategy,contain,direction,entry_time,entry_price,exit_time,exit_price,bars_held,price_change_%,contract_return_%,pnl_usdt,cum_pnl_usdt,trailing_activated,weak,highest,lowest,trail_price_at_exit,k1_open,k1_high,k1_low,k1_close,k2_open,k2_high,k2_low,k2_close
1,rule1,否,做多,2024-12-29 20:14,3402.50,2025-01-02 18:29,3474.68,376,2.121,297.00,2.9700,2.9700,是,是,3476.00,3305.00,,3406.41,3407.92,3397.84,3398.36,3398.37,3403.38,3395.00,3402.50
2,rule1,否,做空,2025-01-02 18:29,3471.17,2025-01-04 03:44,3504.68,132,-0.965,-135.15,-1.3515,1.6185,是,是,3630.00,3421.79,,3467.94,3472.97,3457.99,3458.99,3459.00,3476.00,3458.99,3471.17
3,rule1,否,做多,2025-01-04 05:14,3606.67,2025-01-06 10:44,3683.18,213,2.121,297.00,2.9700,4.5885,是,是,3684.03,3572.42,,3608.88,3611.20,3600.00,3600.57,3600.57,3611.42,3595.00,3606.67
4,rule1,否,做多,2025-01-06 11:14,3665.92,2025-01-07 00:44,3743.69,53,2.121,297.00,2.9700,7.5585,是,是,3744.83,3622.10,,3668.82,3672.68,3657.77,3658.46,3658.45,3669.93,3654.30,3665.92
5,rule1,否,做空,2025-01-07 08:44,3680.55,2025-01-07 22:59,3602.47,56,2.121,297.00,2.9700,10.5285,是,是,3700.86,3532.41,,3677.50,3688.33,3673.04,3687.46,3687.47,3693.67,3679.01,3680.55
6,rule1,否,做空,2025-01-08 00:44,3484.90,2025-01-08 03:44,3402.76,11,2.357,330.00,3.3000,13.8285,否,否,3484.91,3372.71,,3472.11,3485.59,3465.36,3480.01,3480.01,3491.70,3472.72,3484.90
7,rule1,否,做空,2025-01-08 05:29,3400.55,2025-01-08 14:44,3320.39,36,2.357,330.00,5.2800,19.1085,否,否,3415.10,3314.17,,3396.61,3408.99,3390.01,3407.89,3407.90,3414.04,3397.62,3400.55
8,rule1,否,做空,2025-01-08 18:44,3357.85,2025-01-09 01:14,3278.70,25,2.357,330.00,13.2000,32.3085,否,否,3386.36,3256.29,,3354.99,3373.32,3350.89,3372.93,3372.93,3373.37,3357.36,3357.85
9,rule1,否,做空,2025-01-09 03:14,3288.81,2025-01-09 21:59,3219.04,74,2.121,297.00,4.7520,37.0605,是,是,3357.27,3213.00,,3293.04,3293.43,3259.10,3282.83,3282.84,3309.61,3272.05,3288.81
10,rule1,否,做多,2025-01-09 22:14,3241.40,2025-01-09 23:59,3317.80,6,2.357,330.00,13.2000,50.2605,否,否,3337.00,3227.81,,3252.98,3256.92,3213.00,3221.04,3221.04,3248.00,3210.28,3241.40
11,rule1,否,做空,2025-01-10 02:29,3255.41,2025-01-10 04:14,3178.68,6,2.357,330.00,5.2800,55.5405,否,否,3270.35,3166.00,,3250.46,3263.15,3245.63,3260.66,3260.66,3263.50,3246.02,3255.41
