trade_id,strategy,contain,direction,entry_time,entry_price,exit_time,exit_price,bars_held,price_change_%,contract_return_%,pnl_usdt,cum_pnl_usdt,trailing_activated,weak,highest,lowest,trail_price_at_exit,k1_open,k1_high,k1_low,k1_close,k2_open,k2_high,k2_low,k2_close
1,rule1,否,做多,2024-12-29 20:14,3402.50,2025-01-02 18:29,3474.68,376,2.121,297.00,2.9700,2.9700,是,是,3476.00,3305.00,,3406.41,3407.92,3397.84,3398.36,3398.37,3403.38,3395.00,3402.50
2,rule1,否,做多,2024-12-30 04:44,3349.71,2024-12-30 09:29,3428.67,18,2.357,330.00,5.2800,8.2500,否,否,3430.87,3326.17,,3354.28,3354.28,3335.75,3342.45,3342.44,3351.52,3335.00,3349.71
3,rule1,否,做多,2024-12-30 13:14,3399.19,2025-01-02 18:14,3471.30,307,2.121,297.00,4.7520,13.0020,是,是,3472.97,3305.00,,3404.29,3406.64,3391.20,3391.60,3391.60,3402.00,3388.60,3399.19
4,rule1,否,做空,2024-12-30 13:29,3392.90,2024-12-30 22:44,3312.92,36,2.357,330.00,3.3000,16.3020,否,否,3434.35,3310.00,,3391.60,3402.00,3388.60,3399.19,3399.19,3403.62,3391.03,3392.90
5,rule1,否,做多,2024-12-30 15:44,3422.57,2025-01-02 22:44,3495.18,315,2.121,297.00,2.9700,19.2720,是,是,3509.99,3305.00,,3424.23,3427.08,3412.81,3414.68,3414.69,3424.63,3409.44,3422.57
6,rule1,否,做多,2024-12-31 00:14,3329.82,2024-12-31 01:59,3408.31,6,2.357,330.00,3.3000,22.5720,否,否,3408.56,3325.72,,3331.80,3343.98,3321.72,3324.16,3324.16,3334.00,3317.50,3329.82
7,rule1,否,做空,2024-12-31 14:29,3356.82,2025-01-03 22:29,3389.23,319,-0.965,-135.15,-1.3515,21.2205,是,是,3513.60,3313.88,,3344.33,3359.23,3339.85,3351.70,3351.70,3363.42,3349.61,3356.82
8,rule1,否,做空,2025-01-02 18:29,3471.17,2025-01-04 03:44,3504.68,132,-0.965,-135.15,-1.3515,19.8690,是,是,3630.00,3421.79,,3467.94,3472.97,3457.99,3458.99,3459.00,3476.00,3458.99,3471.17
9,rule1,否,做多,2025-01-02 23:14,3485.62,2025-01-03 23:59,3559.56,98,2.121,297.00,4.7520,24.6210,是,是,3576.00,3421.79,,3479.76,3498.00,3478.50,3495.19,3495.15,3496.26,3478.36,3485.62
10,rule1,否,做多,2025-01-03 01:14,3477.66,2025-01-03 23:44,3551.44,89,2.121,297.00,4.7520,29.3730,是,是,3557.46,3421.79,,3483.49,3483.62,3468.18,3469.54,3469.54,3478.80,3466.50,3477.66
11,rule1,否,做多,2025-01-04 05:14,3606.67,2025-01-06 10:44,3683.18,213,2.121,297.00,2.9700,32.3430,是,是,3684.03,3572.42,,3608.88,3611.20,3600.00,3600.57,3600.57,3611.42,3595.00,3606.67
12,rule1,否,做多,2025-01-04 16:14,3603.61,2025-01-06 10:14,3680.06,167,2.121,297.00,2.9700,35.3130,是,是,3682.28,3572.42,,3603.45,3604.92,3593.20,3594.04,3594.05,3603.62,3592.21,3603.61
13,rule1,否,做多,2025-01-04 16:29,3595.69,2025-01-05 08:29,3671.97,63,2.121,297.00,2.9700,38.2830,是,是,3675.25,3572.42,,3594.05,3603.62,3592.21,3603.61,3603.61,3603.62,3590.01,3595.69
14,rule1,否,做多,2025-01-04 20:59,3635.52,2025-01-06 23:59,3712.64,203,2.121,297.00,2.9700,41.2530,是,是,3714.49,3592.06,,3635.97,3643.71,3626.79,3627.98,3627.99,3638.71,3622.52,3635.52
15,rule1,否,做空,2025-01-05 08:29,3661.30,2025-01-07 22:59,3583.63,249,2.121,297.00,2.9700,44.2230,是,是,3744.83,3532.41,,3656.88,3670.00,3651.03,3667.30,3667.30,3675.25,3659.21,3661.30
16,rule1,否,做多,2025-01-06 11:14,3665.92,2025-01-07 00:44,3743.69,53,2.121,297.00,2.9700,47.1930,是,是,3744.83,3622.10,,3668.82,3672.68,3657.77,3658.46,3658.45,3669.93,3654.30,3665.92
17,rule1,否,做空,2025-01-06 22:44,3640.21,2025-01-07 22:59,3562.99,96,2.121,297.00,2.9700,50.1630,是,是,3744.83,3532.41,,3642.23,3643.37,3622.10,3634.23,3634.23,3651.52,3630.94,3640.21
18,rule1,否,做空,2025-01-07 08:44,3680.55,2025-01-07 22:59,3602.47,56,2.121,297.00,2.9700,53.1330,是,是,3700.86,3532.41,,3677.50,3688.33,3673.04,3687.46,3687.47,3693.67,3679.01,3680.55
19,rule1,否,做多,2025-01-07 11:14,3683.14,2025-01-07 23:44,3647.58,49,-0.965,-135.15,-1.3515,51.7815,是,是,3686.55,3413.81,,3686.03,3687.00,3676.00,3678.07,3678.07,3688.68,3674.24,3683.14
20,rule1,否,做空,2025-01-08 00:44,3484.90,2025-01-08 03:44,3402.76,11,2.357,330.00,3.3000,55.0815,否,否,3484.91,3372.71,,3472.11,3485.59,3465.36,3480.01,3480.01,3491.70,3472.72,3484.90
21,rule1,否,做空,2025-01-08 02:14,3449.53,2025-01-08 04:44,3368.22,9,2.357,330.00,3.3000,58.3815,否,否,3449.53,3366.00,,3451.60,3453.00,3420.00,3442.55,3442.56,3458.96,3440.05,3449.53
22,rule1,否,做空,2025-01-08 05:29,3400.55,2025-01-08 14:44,3320.39,36,2.357,330.00,5.2800,63.6615,否,否,3415.10,3314.17,,3396.61,3408.99,3390.01,3407.89,3407.90,3414.04,3397.62,3400.55
